address,date_of_reg,ipc_period,ipc_status,name,primary_sector,status,uen,website
240 JALAN KAYU Singapore 799464,08/03/1989,Not applicable,Not applicable,Abundant Grace Presbyterian Church,Religious,Registered,T13SS0122H,www.agpc.net.sg
"10 Bukit Batok Crescent #05-06 #05-07, The Spire Singapore 658079",28/03/1996,Not applicable,Not applicable,Abundant Life Baptist Church,Religious,Registered,S89SS0054E,http://albcsg.squarespace.com
10 Marsiling Lane Singapore 739147,13/10/2009,Not applicable,Not applicable,Abundant Life Bible-Presbyterian Church,Religious,Registered,S94SS0051F,Not applicable
48 TOH GUAN ROAD EAST #06-130 ENTERPRISE HUB Singapore 608586,03/07/1985,Not applicable,Not applicable,ABUNDANT LIFE FAMILY CHURCH LTD,Religious,Registered,197700528D,Not applicable
70 BUKIT TINGGI ROAD C/O INSTITUTION OF ENGINEERS Singapore 289758,15/11/2012,Not applicable,Not applicable,"ACADEMY OF ENGINEERING, SINGAPORE",Others,Registered,T11SS0118B,Not applicable
81 KIM KEAT ROAD #11-00 NKF CENTRE Singapore 328836,13/04/1984,From 17/05/2016 To 16/05/2018,Live,ACADEMY OF MEDICINE SINGAPORE,Health,Registered,197702012E,http://www.ams.edu.sg
10 COLLYER QUAY #27-00 OCEAN FINANCIAL CENTRE Singapore 049315,03/07/2012,Not applicable,Not applicable,ACCESS HEALTH INTERNATIONAL SOUTHEAST ASIA LIMITED,Health,Registered,201112640R,www.accessh.org
36 ARMENIAN STREET #02-07 Singapore 179934,28/09/2016,Not applicable,Not applicable,ACES CARE LIMITED,Social and Welfare,Registered,201608445Z,Not applicable
61 JALAN HITAM MANIS Singapore 278475,26/10/2005,Not applicable,Not applicable,ACS (INTERNATIONAL),Education,Registered,200514169H,http://www.acsinternational.edu.sg
28 KELANTAN ROAD #05-129 KELANTAN COURT Singapore 200028,04/05/2011,Not applicable,Not applicable,AVANT THEATRE & LANGUAGE,Arts and Heritage,Registered,201105101N,http://www.avanttheatre.com
1 YISHUN INDUSTRIAL STREET 1 #06-11 A'POSH BIZHUB Singapore 768160,01/07/2015,Not applicable,Not applicable,CHARACTER & LEADERSHIP ACADEMY LIMITED,Others,Registered,201412408N,www.characterleadership.sg
99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,29/09/2015,Not applicable,Not applicable,CHOW & CHOWS CHARITY LTD.,Social and Welfare,Registered,201325771N,Not applicable
99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,06/01/2017,Not applicable,Not applicable,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.,Social and Welfare,Registered,201526674R,Not applicable
99 BUKIT TIMAH ROAD #02-01 ALFA CENTRE Singapore 229835,06/01/2017,Not applicable,Not applicable,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (FENGSHAN) LTD.,Social and Welfare,Registered,201404167K,Not applicable
1023 UPPER SERANGOON ROAD #04-01 Singapore 534761,17/02/1987,Not applicable,Not applicable,Acts Baptist Church,Religious,Registered,S86SS0075G,Not applicable
1 North Bridge Road #15-07 High Street Centre Singapore 179094,16/07/2008,Not applicable,Not applicable,ADAM Association,Social and Welfare,Registered,T04SS0135C,Not applicable
25 ADAM ROAD Singapore 289894,29/06/2012,Not applicable,Not applicable,ADAM ROAD PRESBYTERIAN CHURCH,Religious,Registered,T12SS0060G,Not applicable
120 Woodlands Avenue 1 Singapore 739069,25/04/2007,Not applicable,Not applicable,ADMIRALTY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T07CC2017G,Not applicable
25 ROSEWOOD DRIVE #05-17 CASABLANCA Singapore 737919,22/05/2017,Not applicable,Not applicable,Adullam Life Counselling,Social and Welfare,Registered,Not applicable,www.adullam.org.sg
90 Jurong East Street 13 Singapore 609648,14/04/1984,Not applicable,Not applicable,Adventist Community Services,Social and Welfare,Registered,S60SS0011A,communityservices.org.sg
195 Kim Keat Avenue #01-294 Singapore 310195,28/07/1986,From 01/08/2016 To 31/07/2018,Live,Adventist Home for the Elders,Social and Welfare,Registered,S80SS0046B,http://www.adventisthome.org.sg
6 Marsiling Drive #01-96 Singapore 730006,31/08/1999,From 20/07/2016 To 19/07/2018,Live,Adventist Nursing and Rehabilitation Centre,Health,Registered,S97SS0048K,http://www.anrc.org.sg/
103 LAVENDER STREET TRINITY@LAVENDER Singapore 338725,17/12/1992,Not applicable,Not applicable,Agape Baptist Church,Religious,Registered,S84SS0017C,http://www.agape.org.sg/CMS/index.php
8 Lorong 11 Geylang Singapore 388700,18/12/2001,Not applicable,Not applicable,Agape Christian Centre,Religious,Registered,T00SS0010B,http://www.agapesingapore.com/Links.htm
266 Serangoon Central Drive #04-255 Singapore 550266,28/02/1987,Not applicable,Not applicable,Agape Community Church,Religious,Registered,S86SS0023A,http://www.agapecom.org
8 Lorong 11 Geylang Singapore 388700,01/11/1991,Not applicable,Not applicable,Agape Counselling and Training Centre,Social and Welfare,Registered,S91SS0045C,Not applicable
21 YUNG HO RD #3-3 THE AGAPE Singapore 618593,06/02/2006,Not applicable,Not applicable,AGAPE METHODIST CHURCH,Religious,Registered,T06CC1926E,Not applicable
24 SIN MING LANE #06-105 MIDVIEW CITY Singapore 573970,24/02/1998,Not applicable,Not applicable,Agape Vision Association,Religious,Registered,S97SS0009H,Not applicable
50A TOH TUCK ROAD #04-02 SIGNATURE PARK Singapore 596742,29/09/1989,Not applicable,Not applicable,Aglow International (Singapore),Religious,Registered,S79SS0014D,Not applicable
35 KOVAN ROAD #03-42 KOVAN MELODY Singapore 545019,11/09/2014,Not applicable,Not applicable,AGORA@WESTCOASTPLAZA LTD.,Social and Welfare,Registered,200702751M,Not applicable
118 ONAN ROAD Singapore 424530,07/05/1990,Not applicable,Not applicable,AHMADIYYA MUSLIM MISSION,Religious,Registered,S90CC0733J,www.ahmadiyya.org.sg
748A NORTH BRIDGE ROAD Singapore 198716,13/01/2011,From 01/11/2017 To 31/10/2018,Live,AIDHA LTD.,Social and Welfare,Registered,201006653E,http://www.aidha.org
2 EUNOS CRESCENT #01-2545 Singapore 400002,17/04/2006,From 18/09/2017 To 17/09/2018,Live,Ain Society,Social and Welfare,Registered,T00SS0163F,http://www.ainsociety.org.sg
3 ANSON ROAD #27-01 SPRINGLEAF TOWER Singapore 079909,08/02/2011,Not applicable,Not applicable,AKARAKA LIMITED,Others,Registered,201017533Z,http://www.akaraka.org.sg
98 DOVER ROAD Singapore 139647,05/10/1987,Not applicable,Not applicable,ALDERSGATE METHODIST CHURCH,Religious,Registered,S87CC0507F,www.aldersgate.sg
90 YISHUN CENTRAL KHOO TECK PUAT HOSPITAL Singapore 768828,19/11/2014,From 21/06/2016 To 20/06/2018,Live,ALEXANDRA HEALTH FUND LIMITED,Health,Registered,201427909W,Not applicable
6 NAPIER ROAD #06-05 GLENEAGLES HOSPITAL Singapore 258500,27/11/2002,From 23/03/2017 To 22/12/2018,Live,ALIFE LTD.,Social and Welfare,Registered,200204369H,http://www.alife.org.sg
133 NEW BRIDGE ROAD #13-10 CHINATOWN POINT Singapore 059413,01/06/2004,Not applicable,Not applicable,Alive Community Church,Religious,Registered,T03SS0128C,http://www.alivecommunity.net
10 ARUMUGAM ROAD #04-00 LTC BUILDING A Singapore 409957,19/08/2004,From 01/11/2017 To 31/10/2020,Live,ALIVE COMMUNITY NETWORK,Social and Welfare,Registered,T02SS0190K,http://alive.org.sg/
114 LAVENDER STREET #05-71 CT HUB 2 Singapore 338729,29/06/2001,Not applicable,Not applicable,ALL GOOD GIFTS LTD,Religious,Registered,198900203M,Not applicable
5 Poh Huat Road Singapore 546703,18/03/1993,From 17/07/2015 To 16/07/2018,Live,All Saints Home,Health,Registered,S87SS0068F,http://www.allsaintshome.org.sg/
5 POH HUAT ROAD Singapore 546703,05/08/2005,Not applicable,Not applicable,ALL SAINTS MEMORIAL CHAPEL (SINGAPORE) LTD,Religious,Registered,199907126R,www.asmc.org.sg
7 ARMENIAN ST BIBLE HOUSE #B1-01 Singapore 179932,26/06/2002,Not applicable,Not applicable,ALL SAINTS PRESBYTERIAN CHURCH,Religious,Registered,T01SS0182C,http://aspc.sg
2 Kallang Avenue #03-16 CT Hub @ Kallang Singapore 339407,02/12/2003,Not applicable,Not applicable,AlphaSingapore,Religious,Registered,T03SS0059A,singapore.alpha.org
157 Lorong 1 Toa Payoh #01-1195 Singapore 310157,21/09/1992,From 01/01/2016 To 31/12/2018,Live,Alzheimer's Disease Association,Health,Registered,S91SS0018J,http://www.alz.org.sg
408-B UPPER EAST COAST ROAD Singapore 466484,21/07/1998,Not applicable,Not applicable,AMAZING GRACE PRESBYTERIAN CHURCH,Religious,Registered,T12SS0143J,www.agpc.sg
170 UPPER BUKIT TIMAH ROAD #17-02 BUKIT TIMAH SHOPPING CENTRE Singapore 588179,15/12/1986,Not applicable,Not applicable,AMBASSADORS FOR CHRIST (SINGAPORE) LIMITED,Religious,Registered,197300850D,Not applicable
190 MIDDLE ROAD #16-1 FORTUNE CENTRE Singapore 188979,31/12/1985,Not applicable,Not applicable,AMBER TRUST,Education,Registered,S85CC0278K,Not applicable
190 MIDDLE ROAD #16-01E FORTUNE CENTR Singapore 188979,31/12/1985,Not applicable,Not applicable,AMBER TRUST RE: AMBER FUND,Others,Registered,S85CC0279F,Not applicable
44 Lorong 25A Geylang Singapore 388244,06/04/1994,Not applicable,Not applicable,Amitabha Buddhist Centre,Religious,Registered,S88SS0107J,http://www.fpmtabc.org/
2 LORONG 35 GEYLANG AMITABHA BUILDING Singapore 387934,17/02/2016,Not applicable,Not applicable,Amitabha Buddhist Society (Singapore),Religious,Registered,S92SS0059H,www.amtb.org.sg
223D COMPASSVALE WALK #01-673 COMPASSVALE VISTA Singapore 544223,01/03/2013,From 01/10/2015 To 31/03/2018,Live,AMKFSC COMMUNITY SERVICES LTD.,Social and Welfare,Registered,201229817Z,www.amkfsc.org.sg
336 ANG MO KIO AVENUE 1 #01-2079 Singapore 560336,19/12/1996,Not applicable,Not applicable,Ananias Centre,Social and Welfare,Registered,S95SS0151B,http://www.ananias.sg
131 West Coast Drive Singapore 128014,19/09/1988,Not applicable,Not applicable,Ang Chee Sia Ong Temple,Religious,Registered,S85SS0065H,http://www.acsotemple.org.sg
53 UBI AVENUE 1 #01-56 PAYA UBI INDUSTRIAL PARK Singapore 408934,23/01/2014,Not applicable,Not applicable,ANG CHIN MOH FOUNDATION,Others,Registered,201229962D,http://www.acmfoundation.sg
1 NORTH BRIDGE ROAD #23-03 HIGH STREET CENTRE Singapore 179094,26/08/2002,From 27/09/2017 To 26/09/2018,Live,ANG MO KIO - THYE HUA KWAN HOSPITAL LTD.,Health,Registered,200201385C,http://www.amkh.com.sg
1 ANG MO KIO STREET 21 ANG MO KIO METHODIST CHURCH Singapore 569383,26/08/1987,Not applicable,Not applicable,ANG MO KIO CHINESE METHODIST CHURCH,Religious,Registered,S87CC0484A,http://www.amkmc-cac.org.sg
1 ANG MO KIO STREET 21 ANG MO KIO METHODIST CHURCH Singapore 569383,05/09/1987,Not applicable,Not applicable,ANG MO KIO METHODIST CHURCH (TRAC),Religious,Registered,S87CC0491G,http://www.amkmc.org.sg/
5209 ANG MO KIO AVENUE 6 Singapore 569845,23/06/2012,Not applicable,Not applicable,ANG MO KIO PRESBYTERIAN CHURCH,Religious,Registered,T12SS0071H,Not applicable
1 ANG MO KIO ST 21 Singapore 569383,10/09/1987,Not applicable,Not applicable,ANG MO KIO TAMIL METHODIST CHURCH,Religious,Registered,S87CC0497E,http://amktmc.org
51 HOUGANG AVENUE 9 #1-01 Singapore 538776,22/02/2000,From 01/04/2013 To 31/03/2018,Live,ANG MO KIO-HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T00CC1416D,http://www.pa.gov.sg
3 Pasir Panjang Hill Singapore 118827,04/12/2003,Not applicable,Not applicable,Angora Brethren Chapel,Religious,Registered,T03SS0149J,Not applicable
91 Jalan Lekar Singapore 698917,11/01/2005,From 01/06/2017 To 31/05/2018,Live,Animal Concerns Research and Education Society,Others,Registered,T01SS0121K,http://www.acres.org.sg
171C CYPRUS ROAD Singapore 759711,30/01/2015,Not applicable,Not applicable,Animal Lovers League,Others,Registered,T02SS0040E,Not applicable
18 Hougang Street 11 Singapore 538747,23/03/1990,Not applicable,Not applicable,Ann Jin Kiong,Religious,Registered,S85SS0044B,Not applicable
489 Serangoon North Avenue 1 Singapore 555891,07/12/1988,Not applicable,Not applicable,Ann San Temple,Religious,Registered,S84SS0084F,Not applicable
5001 BEACH ROAD #04-01C GOLDEN MILE COMPLEX Singapore 199588,20/01/1997,Not applicable,Not applicable,Antioch Missions,Religious,Registered,S95SS0015H,http://www.amccsm.org
480 LORONG 2 TOA PAYOH #2-02-18 TOA PAYOH METHODIST CHURCH Singapore 319641,19/11/2009,Not applicable,Not applicable,Aoxiang Counselling Service,Social and Welfare,Registered,T05SS0095C,Not applicable
119 Bukit Merah View #01-85 Singapore 152119,11/11/1991,From 01/12/2015 To 31/08/2018,Live,Apex Day Rehabilitation Centre For Elderly,Social and Welfare,Registered,S89SS0091D,http://www.apexrehab.org.sg
10 Pasir Ris Walk Singapore 518240,23/07/1997,From 30/04/2016 To 29/04/2018,Live,Apex Harmony Lodge,Health,Registered,S95SS0086F,http://www.apexharmony.org.sg
60 KIM KEAT ROAD #01-02 KIM KEAT HOUSE Singapore 328827,10/11/2010,From 01/01/2018 To 31/12/2020,Live,ARC CHILDREN'S CENTRE CO LIMITED,Social and Welfare,Registered,201021661K,http://www.arcchildren.org
5 ANG MO KIO AVENUE 10 PATHLIGHT SCHOOL Singapore 569739,08/12/2011,Not applicable,Not applicable,ARC LEARNING ACADEMY LTD.,Social and Welfare,Registered,201112356K,http://www.autism.org.sg
17 TU FU AVENUE TEACHER'S HOUSING ESTATE Singapore 787224,19/01/2011,Not applicable,Not applicable,ARCHERY ASSOCIATION OF SINGAPORE,Sports,Registered,S69SS0005C,http://archerysingapore.com
10 ANSON ROAD #18-17 INTERNATIONAL PLAZA Singapore 079903,18/08/2009,Not applicable,Not applicable,"ARK, THE",Religious,Registered,T07SS0078B,http://www.thearkchurch.org.sg
60 HILL STREET Singapore 179366,23/10/2003,Not applicable,Not applicable,"ARMENIAN APOSTOLIC CHURCH OF ST GREGORY THE ILLUMINATOR, TRUST, THE",Religious,Registered,T03CC1734K,http://armeniansinasia.org/
185A UPPER THOMSON ROAD YEW LIAN PARK Singapore 574333,11/04/2014,Not applicable,Not applicable,ARS NOVA COMPETITION LIMITED,Arts and Heritage,Registered,201307683K,http://www.arsnovacompetition.org
47 MALAN ROAD #01-24 GILLMAN BARRACKS Singapore 109444,15/10/2003,From 01/04/2016 To 31/03/2019,Live,ART OUTREACH SINGAPORE LIMITED,Arts and Heritage,Registered,200304127K,http://www.artoutreachsingapore.org
10 UBI CRESCENT #01-45 UBI TECHPARK Singapore 408564,04/11/2004,Not applicable,Not applicable,ART RETREAT LIMITED,Arts and Heritage,Registered,200311483R,Not applicable
"1 OLD PARLIAMENT LANE ARTS HOUSE AT THE OLD PARLIAMENT, THE Singapore 179429",12/11/2004,Not applicable,Not applicable,ARTS FOR US ALL (AFUA) LTD.,Arts and Heritage,Registered,200413371D,Not applicable
1 OLD PARLIAMENT LANE #02-01 THE ARTS HOUSE AT THE OLD PARL. Singapore 179429,24/02/2003,From 01/01/2017 To 31/12/2019,Live,ARTS HOUSE LTD.,Arts and Heritage,Registered,200210647W,www.theartshouse.sg
3015 UBI ROAD 1 #02-216 KAMPONG UBI INDUSTRIAL ESTATE Singapore 408704,24/10/2017,Not applicable,Not applicable,ARTS THEATRE OF SINGAPORE LTD,Arts and Heritage,Registered,199500688W,www.artstheatre.com.sg
305 SERANGOON AVENUE 2 #04-98 CHUAN VILLAGE Singapore 550305,29/09/2015,Not applicable,Not applicable,ARTSWOK COLLABORATIVE LIMITED,Arts and Heritage,Registered,201432448C,www.artswok.org
281 Jurong East Street 21 Singapore 609605,04/11/2000,Not applicable,Not applicable,Arulmigu Murugan Temple,Religious,Registered,S75SS0033J,Not applicable
397 Serangoon Road Singapore 218123,26/05/2005,Not applicable,Not applicable,Arulmigu Velmurugan Gnana Muneeswarar Temple,Religious,Registered,T00SS0127C,Not applicable
113 Syed Alwi Road Singapore 207681,18/07/1985,Not applicable,Not applicable,Arya Samaj Singapore,Religious,Registered,S62SS0019A,www.aryasamajsingapore.org
10 HOE CHIANG ROAD #08-03 KEPPEL TOWERS Singapore 089315,30/06/2014,Not applicable,Not applicable,ASEAN CSR NETWORK LTD.,Others,Registered,201025962K,http://www.asean-csr-network.org
1 COLEMAN STREET #07-02 THE ADELPHI Singapore 179803,19/04/2011,Not applicable,Not applicable,ASHOKA : INNOVATORS FOR THE PUBLIC (SINGAPORE) LIMITED,Others,Registered,201020535E,http://singapore.ashoka.org
32B Keong Saik Road Singapore 089139,28/01/2003,Not applicable,Not applicable,Asia Aflame Network (Singapore),Religious,Registered,T02SS0019J,Not applicable
368 PASIR PANJANG ROAD NAZARETH BIBLE-PRESBYTERIAN CHURCH Singapore 118705,30/09/1992,Not applicable,Not applicable,ASIA BIBLICAL THEOLOGICAL SEMINARY OF CORNERSTONE UNIVERSITY,Religious,Registered,S92SS0012E,Not applicable
11 THIRD HOSPITAL AVENUE SINGAPORE NATIONAL EYE CENTRE Singapore 168751,23/10/2008,Not applicable,Not applicable,ASIA CORNEA FOUNDATION,Health,Registered,200804347D,Not applicable
89 Short Street #02-16 Golden Wall Centre Singapore 188216,23/07/1985,Not applicable,Not applicable,Asia Evangelistic Fellowship,Religious,Registered,S61SS0190H,Not applicable
459 JALAN AHMAD IBRAHIM Singapore 639934,23/07/1994,From 19/03/2017 To 18/03/2019,Live,ASIA PACIFIC BREWERIES FOUNDATION,Others,Registered,S94CC1034B,http://apbfoundation.org.sg/
11 Hospital Drive National Cancer Centre Department of Palliative Medicine Singapore 169610,25/07/2003,Not applicable,Not applicable,Asia Pacific Hospice Palliative Care Network,Health,Registered,T01SS0003A,http://www.aphn.org
3 ANSON ROAD #07-01 SPRINGLEAF TOWER Singapore 079909,24/12/1991,Not applicable,Not applicable,ASIA PACIFIC MISSION LTD,Religious,Registered,198301173C,Not applicable
352 TANGLIN ROAD #01-07 TANGLIN INTERNATIONAL CENTRE Singapore 247671,29/09/2015,Not applicable,Not applicable,ASIA PHILANTHROPY CIRCLE LTD.,Others,Registered,201528607M,www.asiaphilanthropycircle.org
20 TAMPINES STREET 43 Singapore 529151,05/06/1992,Not applicable,Not applicable,ASIA THEOLOGICAL CENTER,Religious,Registered,S85SS0003H,http://www.atc.org.sg
45 Syed Alwi Road #02-01 Singapore 207636,05/06/2002,Not applicable,Not applicable,Asian Baptist Community Church,Religious,Registered,S99SS0112J,http://www.abcc.sg/
1 SUPREME COURT LANE #06-00 SUPREME COURT BUILDING Singapore 178879,27/10/2016,Not applicable,Not applicable,ASIAN BUSINESS LAW INSTITUTE,Others,Registered,201500327G,abli.asia
2 CLUNY ROAD Singapore 259570,04/09/1991,Not applicable,Not applicable,Asian Christian Training Centre,Religious,Registered,S90SS0058B,http://www.acti-singapore.org
100 VICTORIA STREET #04-00 NATIONAL LIBRARY BUILDING Singapore 188064,17/10/2005,From 13/01/2017 To 12/01/2019,Live,ASIAN FILM ARCHIVE,Arts and Heritage,Registered,200500010H,www.asianfilmarchive.org
CS-02-28 NANYANG DRIVE NTU SCHOOL OF COMMUNICATION STUDIES BLDG Singapore 639798,24/09/1997,Not applicable,Not applicable,"ASIAN MEDIA, INFORMATION AND COMMUNICATION CENTRE LIMITED",Others,Registered,197100157K,http://www.amic.org.sg
585 NORTH BRIDGE ROAD #11-00 Singapore 188770,23/08/2003,From 04/06/2016 To 03/06/2018,Live,ASIAN MEDICAL FOUNDATION LTD.,Health,Registered,200303941K,http://www.asianmedicalfoundation.org
80 ROBINSON ROAD #02-00 Singapore 068898,24/02/2011,Not applicable,Not applicable,ASIAN VENTURE PHILANTHROPY NETWORK LIMITED,Others,Registered,201016116M,Not applicable
9 Lorong Napiri Singapore 547531,07/11/1984,Not applicable,Not applicable,Asian Women's Welfare Association,Social and Welfare,Registered,S70SS0021J,http://www.awwa.org.sg
8 Lorong 27-A Geylang #02-08 Guilin Building Singapore 388106,12/05/2000,Not applicable,Not applicable,Assemblies of God Community Services Society,Social and Welfare,Registered,T00SS0005K,Not applicable
247 PAYA LEBAR ROAD #01-01 TRINITY @ PAYA LEBAR Singapore 409045,28/05/1985,Not applicable,Not applicable,"Assemblies of God of Singapore, The",Religious,Registered,S71SS0008J,http://www.ag.org.sg
80 RAFFLES PLACE #32-01 UOB PLAZA Singapore 048624,03/05/2012,From 27/04/2017 To 26/04/2020,Live,ASSISI HOSPICE,Health,Registered,201208993Z,http://www.assisihospice.org.sg
96 Waterloo Street #02-04 SCWO Centre Singapore 187967,13/02/2006,Not applicable,Not applicable,Association for Breastfeeding Advocacy (Singapore),Health,Registered,T03SS0174L,http://www.abas.org.sg
900 NEW UPPER CHANGI ROAD Singapore 467354,30/11/1984,From 01/12/2015 To 28/02/2018,Live,Association for Persons with Special Needs,Social and Welfare,Registered,S75SS0058K,http://www.apsn.org.sg
302 Pasir Panjang Road Singapore 118643,18/04/1996,Not applicable,Not applicable,Association of Bible-Believing Christians,Religious,Registered,S90SS0014J,http://sunflower.singnet.com.sg/~kyeow/
8 SHENTON WAY #21-07 AXA TOWER Singapore 068811,19/10/1991,From 10/10/2014 To 09/10/2018,Live,ASSOCIATION OF MUSLIM PROFESSIONALS,Others,Registered,199105100D,amp.org.sg
5 DOVER CRESCENT #01-22 Singapore 130005,23/03/2005,From 01/03/2016 To 31/08/2018,Live,Association of Women for Action And Research,Social and Welfare,Registered,S85SS0089B,http://www.aware.org.sg
30 Cashew Road Singapore 679697,17/07/2009,From 27/08/2017 To 26/08/2020,Live,ASSUMPTION PATHWAY SCHOOL,Education,Registered,T09CC0004J,http://www.aps.edu.sg
30 East Coast Road #02-19 Paramount Shopping Centre Singapore 428751,27/04/1995,Not applicable,Not applicable,ASTHMA AND ALLERGY ASSOCIATION,Health,Registered,S93SS0154B,Not applicable
3 CHURCH STREET #16-04/05 SAMSUNG HUB Singapore 049483,06/05/2015,Not applicable,Not applicable,AT CAPITAL CHARITABLE FOUNDATION LIMITED,Others,Registered,201412023G,http://atcapital.com.sg
101 BUKIT BATOK WEST AVENUE 3 #01-01 EDEN SCHOOL Singapore 659168,28/01/1995,From 01/01/2016 To 31/12/2018,Live,AUTISM ASSOCIATION (SINGAPORE),Social and Welfare,Registered,S92SS0124D,http://www.autismlinks.org.sg
5 ANG MO KIO AVENUE 10 Singapore 569739,18/02/2000,From 01/02/2017 To 31/01/2020,Live,Autism Resource Centre (Singapore),Social and Welfare,Registered,S99SS0148L,http://www.autism.org.sg
23 WOKING ROAD #01-01 Singapore 138701,22/12/2010,Not applicable,Not applicable,AVELIFE (LTD.),Others,Registered,200920810R,http://www.avelifefoundation.org/
3 ANSON ROAD #07-01 SPRINGLEAF TOWER Singapore 079909,19/07/2017,Not applicable,Not applicable,AWFUL GRACE LTD.,Social and Welfare,Registered,201620695W,www.awfulgrace.org
9 LORONG NAPIRI Singapore 547531,05/03/2015,From 01/04/2017 To 31/12/2018,Live,AWWA LTD.,Social and Welfare,Registered,201500785Z,http://www.awwa.org.sg
150 PANDAN GARDENS Singapore 609335,25/11/2011,From 13/12/2013 To 12/12/2018,Live,AYER RAJAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T11CC0008L,Not applicable
54 SOUTH BRIDGE ROAD #D Singapore 058685,13/09/2013,From 01/10/2017 To 30/06/2019,Live,BABES PREGNANCY CRISIS SUPPORT LTD.,Social and Welfare,Registered,201314611H,http://www.babes.org.sg
2 MARINA BOULEVARD #10-08 THE SAIL @ MARINA BAY Singapore 018987,03/06/2013,Not applicable,Not applicable,BABSEACLE SINGAPORE LTD.,Others,Registered,201132695K,Not applicable
21 Bangkit Road Singapore 679971,19/12/1984,Not applicable,Not applicable,Bak Suah Siah Boo Temple,Religious,Registered,S76SS0046G,Not applicable
