address,date_of_reg,ipc_period,ipc_status,name,primary_sector,status,uen,website
6 NAPIER ROAD #06-05 GLENEAGLES HOSPITAL Singapore 258500,27/11/2002,From 23/03/2017 To 22/12/2018,Live,ALIFE LTD.,Social and Welfare,Registered,200204369H,http://www.alife.org.sg
10 ARUMUGAM ROAD #04-00 LTC BUILDING A Singapore 409957,19/08/2004,From 01/11/2017 To 31/10/2020,Live,ALIVE COMMUNITY NETWORK,Social and Welfare,Registered,T02SS0190K,http://alive.org.sg/
5 Poh Huat Road Singapore 546703,18/03/1993,From 17/07/2015 To 16/07/2018,Live,All Saints Home,Health,Registered,S87SS0068F,http://www.allsaintshome.org.sg/
157 Lorong 1 Toa Payoh #01-1195 Singapore 310157,21/09/1992,From 01/01/2016 To 31/12/2018,Live,Alzheimer's Disease Association,Health,Registered,S91SS0018J,http://www.alz.org.sg
223D COMPASSVALE WALK #01-673 COMPASSVALE VISTA Singapore 544223,01/03/2013,From 01/10/2015 To 31/03/2018,Live,AMKFSC COMMUNITY SERVICES LTD.,Social and Welfare,Registered,201229817Z,www.amkfsc.org.sg
1 NORTH BRIDGE ROAD #23-03 HIGH STREET CENTRE Singapore 179094,26/08/2002,From 27/09/2017 To 26/09/2018,Live,ANG MO KIO - THYE HUA KWAN HOSPITAL LTD.,Health,Registered,200201385C,http://www.amkh.com.sg
51 HOUGANG AVENUE 9 #1-01 Singapore 538776,22/02/2000,From 01/04/2013 To 31/03/2018,Live,ANG MO KIO-HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T00CC1416D,http://www.pa.gov.sg
91 Jalan Lekar Singapore 698917,11/01/2005,From 01/06/2017 To 31/05/2018,Live,Animal Concerns Research and Education Society,Others,Registered,T01SS0121K,http://www.acres.org.sg
119 Bukit Merah View #01-85 Singapore 152119,11/11/1991,From 01/12/2015 To 31/08/2018,Live,Apex Day Rehabilitation Centre For Elderly,Social and Welfare,Registered,S89SS0091D,http://www.apexrehab.org.sg
10 Pasir Ris Walk Singapore 518240,23/07/1997,From 30/04/2016 To 29/04/2018,Live,Apex Harmony Lodge,Health,Registered,S95SS0086F,http://www.apexharmony.org.sg
60 KIM KEAT ROAD #01-02 KIM KEAT HOUSE Singapore 328827,10/11/2010,From 01/01/2018 To 31/12/2020,Live,ARC CHILDREN'S CENTRE CO LIMITED,Social and Welfare,Registered,201021661K,http://www.arcchildren.org
47 MALAN ROAD #01-24 GILLMAN BARRACKS Singapore 109444,15/10/2003,From 01/04/2016 To 31/03/2019,Live,ART OUTREACH SINGAPORE LIMITED,Arts and Heritage,Registered,200304127K,http://www.artoutreachsingapore.org
1 OLD PARLIAMENT LANE #02-01 THE ARTS HOUSE AT THE OLD PARL. Singapore 179429,24/02/2003,From 01/01/2017 To 31/12/2019,Live,ARTS HOUSE LTD.,Arts and Heritage,Registered,200210647W,www.theartshouse.sg
10 SERANGOON NORTH AVENUE 2 #05-02 THE SERANGOON CC Singapore 555877,05/12/2012,From 01/09/2017 To 28/02/2019,Live,NULIFE CARE & COUNSELLING SERVICES LIMITED,Social and Welfare,Registered,200416313W,http://www.nulife.com.sg
2 ORCHARD LINK #04-01 SCAPE Singapore 237978,22/11/2007,From 21/10/2016 To 20/10/2018,Live,"*SCAPE CO., LTD.",Others,Registered,200712761D,http://www.scape.sg
1 COMMONWEALTH LANE #03-10 ONE COMMONWEALTH Singapore 149544,10/03/2003,From 01/02/2017 To 31/01/2019,Live,365 CANCER PREVENTION SOCIETY,Social and Welfare,Registered,T03SS0046H,http://www.365cps.org.sg
7A LORONG 8 TOA PAYOH #02-09 AGAPE VILLAGE Singapore 319264,24/11/2010,From 29/11/2017 To 28/08/2020,Live,ABILITIES BEYOND LIMITATIONS AND EXPECTATIONS LIMITED,Social and Welfare,Registered,201022774G,www.able-sg.org
81 KIM KEAT ROAD #11-00 NKF CENTRE Singapore 328836,13/04/1984,From 17/05/2016 To 16/05/2018,Live,ACADEMY OF MEDICINE SINGAPORE,Health,Registered,197702012E,http://www.ams.edu.sg
8 SHENTON WAY #21-07 AXA TOWER Singapore 068811,19/10/1991,From 10/10/2014 To 09/10/2018,Live,ASSOCIATION OF MUSLIM PROFESSIONALS,Others,Registered,199105100D,amp.org.sg
5 DOVER CRESCENT #01-22 Singapore 130005,23/03/2005,From 01/03/2016 To 31/08/2018,Live,Association of Women for Action And Research,Social and Welfare,Registered,S85SS0089B,http://www.aware.org.sg
30 Cashew Road Singapore 679697,17/07/2009,From 27/08/2017 To 26/08/2020,Live,ASSUMPTION PATHWAY SCHOOL,Education,Registered,T09CC0004J,http://www.aps.edu.sg
101 BUKIT BATOK WEST AVENUE 3 #01-01 EDEN SCHOOL Singapore 659168,28/01/1995,From 01/01/2016 To 31/12/2018,Live,AUTISM ASSOCIATION (SINGAPORE),Social and Welfare,Registered,S92SS0124D,http://www.autismlinks.org.sg
5 ANG MO KIO AVENUE 10 Singapore 569739,18/02/2000,From 01/02/2017 To 31/01/2020,Live,Autism Resource Centre (Singapore),Social and Welfare,Registered,S99SS0148L,http://www.autism.org.sg
9 LORONG NAPIRI Singapore 547531,05/03/2015,From 01/04/2017 To 31/12/2018,Live,AWWA LTD.,Social and Welfare,Registered,201500785Z,http://www.awwa.org.sg
150 PANDAN GARDENS Singapore 609335,25/11/2011,From 13/12/2013 To 12/12/2018,Live,AYER RAJAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T11CC0008L,Not applicable
54 SOUTH BRIDGE ROAD #D Singapore 058685,13/09/2013,From 01/10/2017 To 30/06/2019,Live,BABES PREGNANCY CRISIS SUPPORT LTD.,Social and Welfare,Registered,201314611H,http://www.babes.org.sg
8 NEW INDUSTRIAL ROAD #05-01 LHK3 BUILDING Singapore 536200,25/09/2012,From 01/01/2017 To 31/12/2018,Live,BARTLEY COMMUNITY CARE SERVICES,Social and Welfare,Registered,T01SS0004H,www.bccs.org.sg
601 ALJUNIED AVENUE 1 #01-04 Singapore 389862,21/06/2010,From 08/04/2017 To 07/04/2020,Live,Basketball Association of Singapore,Sports,Registered,S67SS0001J,http://www.bas.org.sg
98 NANYANG CRESCENT #05-06 Singapore 637665,21/09/2012,From 17/02/2017 To 16/02/2018,Live,BEAUTIFUL MIND CHARITY,Arts and Heritage,Registered,T12SS0009G,http://www.bmcsg.org
3 SHENTON WAY #15-01 SHENTON HOUSE Singapore 068805,03/09/2015,From 01/12/2017 To 30/11/2019,Live,BEAUTIFUL PEOPLE SG LTD.,Social and Welfare,Registered,201525056H,www.beautifulpeople.org.sg
850 NEW UPPER CHANGI ROAD BEDOK COMMUNITY CENTRE Singapore 467352,07/11/1990,From 01/04/2015 To 31/03/2018,Live,BEDOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S90CC0764J,http://www.pa.gov.sg
3 HOUGANG AVE 6 PUNGGOL COMMUNITY CLUB Singapore 538808,09/05/1988,From 21/08/2015 To 20/08/2018,Live,BEDOK RESERVIOR-PUNGGOL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S88CC0571D,Not applicable
114 Aljunied Ave 2 #03-75 Singapore 380114,09/09/2004,From 01/09/2016 To 28/02/2019,Live,Bethel Community Services,Social and Welfare,Registered,T04SS0113A,www.bethelcs.org.sg
300 Bedok North Avenue 3 Singapore 469717,19/04/1997,From 01/07/2017 To 31/03/2020,Live,Bethesda Care and Counselling Services Centre,Social and Welfare,Registered,S96SS0146D,www.bccsc.org
247 HOUGANG AVENUE 3 #01-462 Singapore 530247,17/05/2002,From 01/03/2016 To 28/02/2018,Live,BETHESDA COMMUNITY ASSISTANCE AND RELATIONSHIP ENRICHMENT CENTRE,Social and Welfare,Registered,S96SS0198K,http://www.bcare.org.sg
26 JALAN KLINIK #01-42/52 Singapore 160026,19/09/1988,From 01/07/2016 To 30/06/2019,Live,Beyond Social Services,Social and Welfare,Registered,S87SS0025J,http://www.beyond.org.sg
19 KERBAU ROAD Singapore 219158,15/12/2000,From 29/12/2015 To 28/12/2017,Live,BHASKAR'S ARTS ACADEMY LTD,Arts and Heritage,Registered,199907527E,http://www.bhaskarsartsacademy.com
177 RIVER VALLEY ROAD #05-20 LIANG COURT SHOPPING CENTRE Singapore 179030,01/11/2008,From 01/11/2015 To 31/10/2018,Live,BINJAITREE,Others,Registered,200818724G,http://www.binjaitree.org
51 BISHAN ST 13 BISHAN COMMUNITY CLUB Singapore 579799,25/11/1992,From 01/04/2015 To 31/03/2018,Live,Bishan East-Thomson CCC Community Development and Welfare Fund,Community,Registered,S92CC0922L,http://www.pa.gov.sg
6 Bishan Street 13 Bishan House Singapore 579798,01/08/2007,From 01/07/2016 To 31/03/2019,Live,Bishan Home for the Intellectually Disabled,Social and Welfare,Registered,T07SS0102D,http://info.bishanhome.org.sg/
233 BISHAN ST 22 #01-126 BISHAN NORTH CONSTITUENCY OFFICE Singapore 570233,11/10/2005,From 12/11/2017 To 31/12/2020,Live,BISHAN NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T05CC1908D,http://www.pa.gov.sg
512 CHAI CHEE LANE #01-07/09 Singapore 469028,16/05/1995,From 01/10/2017 To 30/09/2020,Live,BIZLINK CENTRE SINGAPORE LTD,Social and Welfare,Registered,199500566R,http://www.bizlink.org.sg
16 ARUMUGAM ROAD #04-02B LTC BUILDING D Singapore 409961,28/03/2015,From 01/05/2017 To 31/07/2019,Live,BLESSED GRACE SOCIAL SERVICES LIMITED,Social and Welfare,Registered,201407233M,www.bgss.org.sg
12 ALJUNIED ROAD #03-00 KH PLAZA @ ALJUNIED Singapore 389801,04/04/2016,From 01/02/2018 To 31/01/2019,Live,BLOSSOM SEEDS LIMITED,Social and Welfare,Registered,201304904N,www.blossomseeds.sg
9 TOH YI DRIVE #01-321 Singapore 590009,25/11/2014,From 29/09/2017 To 28/09/2020,Live,Blossom World Society,Others,Registered,T08SS0161K,www.blossomworld.sg
6 Fourth Chin Bee Road Singapore 619708,15/09/1997,From 01/11/2017 To 30/04/2019,Live,Bo Tien Welfare Services Society,Social and Welfare,Registered,S97SS0091H,http://www.botien.org.sg
8 SINARAN DRIVE #03-02 OASIA HOTEL Singapore 307470,19/07/1993,From 01/01/2018 To 30/06/2018,Live,"BONE MARROW DONOR PROGRAMME, THE",Health,Registered,S93SS0141J,http://www.bmdp.org
10 BOON LAY PLACE Singapore 649882,03/12/1987,From 01/04/2015 To 31/03/2018,Live,BOON LAY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S87CC0542B,Not applicable
3 STADIUM DRIVE #01-34 Singapore 397630,07/06/2011,From 01/07/2015 To 30/06/2018,Live,Bowling Association for the Disabled (Singapore),Sports,Registered,T10SS0077G,http://www.bads.org.sg
105 Ganges Avenue BB Campus Singapore 169695,29/06/1984,From 30/08/2017 To 29/08/2019,Live,Boys' Brigade in Singapore,Education,Registered,S62SS0041D,http://www.bb.org.sg
624 UPPER BUKIT TIMAH ROAD Singapore 678212,03/02/2016,From 15/02/2016 To 14/02/2018,Live,BOYS' TOWN,Social and Welfare,Registered,201534576H,www.boystown.org.sg
50 SERANGOON AVE 2 Singapore 556129,18/03/1991,From 01/04/2015 To 31/03/2018,Live,BRADDELL HEIGHTS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S91CC0795C,Not applicable
71 IRRAWADDY ROAD #03-09 Singapore 329562,05/03/2012,From 01/08/2017 To 30/04/2020,Live,BRAHM CENTRE LTD.,Social and Welfare,Registered,200200167M,http://www.brahmcentre.com
303 Shunfu Road #03-57 Singapore 570303,12/01/1984,From 01/07/2015 To 30/06/2018,Live,Breadline Group,Social and Welfare,Registered,S75SS0039G,http://www.breadlinegroup.org
6 EU TONG SEN STREET #10-15 THE CENTRAL Singapore 059817,10/10/1985,From 01/08/2017 To 31/07/2020,Live,BREAKTHROUGH MISSIONS LTD,Social and Welfare,Registered,198305430G,http://www.breakthroughmissions.org.sg
5 STADIUM WALK #04-03 LEISURE PARK KALLANG Singapore 397693,22/10/1997,From 16/02/2016 To 15/02/2018,Live,BREAST CANCER FOUNDATION,Health,Registered,S97SS0137L,http://www.bcf.org.sg
100 PUNGGOL FIELD BRIGHT HILL EVERGREEN HOME Singapore 828811,02/04/1987,From 01/12/2017 To 30/11/2020,Live,BRIGHT HILL EVERGREEN HOME,Health,Registered,S82SS0008F,http://www.bheh.org
229 MOUNTBATTEN ROAD #02-08 MOUNTBATTEN SQUARE Singapore 398007,18/11/2008,From 01/10/2017 To 30/09/2019,Live,BRIGHT HORIZONS FUND,Social and Welfare,Registered,200818009N,Not applicable
5 LORONG NAPIRI Singapore 547530,06/11/2001,From 23/08/2015 To 22/08/2018,Live,BRIGHT VISION HOSPITAL,Health,Registered,200105451R,http://www.bvh.org.sg
1 UBI CRESCENT #03-03 NUMBER ONE BUILDING Singapore 408563,02/10/2014,From 05/05/2017 To 04/05/2018,Live,Brighton Connection,Social and Welfare,Registered,T05SS0234C,Not applicable
9 ELIAS ROAD Singapore 519937,26/01/1994,From 01/03/2017 To 28/02/2019,Live,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),Social and Welfare,Registered,S93SS0148C,http://www.tzuchi.org.sg
NO.21 BUKIT BATOK CENTRAL BUKIT BATOK COMMUNITY CLUB Singapore 659959,26/06/1987,From 01/04/2015 To 31/03/2018,Live,BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S87CC0463F,http://www.pa.gov.sg
23 BUKIT BATOK EAST AVE 4 Singapore 659841,31/08/2002,From 01/04/2017 To 31/03/2020,Live,BUKIT BATOK EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T02CC1597H,http://www.pa.gov.sg
1 HILLVIEW RISE #01-01 Singapore 667970,03/06/1989,From 21/10/2013 To 20/10/2018,Live,BUKIT GOMBAK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S89CC0658F,Not applicable
20 TOH YI DRIVE #00--00 BUKIT TIMAH COMMUNITY CLUB Singapore 596569,17/08/1991,From 22/01/2018 To 31/12/2020,Live,BUKIT TIMAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S91CC0825C,N.A
36 HOLLAND DRIVE #01-01 BUONA VISTA COMMUNITY CLUB Singapore 270036,17/08/1991,From 01/04/2015 To 31/03/2018,Live,BUONA VISTA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S91CC0827F,Not applicable
65 TANJONG KATONG ROAD #03-02 Singapore 436957,09/03/2009,From 01/05/2017 To 30/04/2019,Live,BUSINESS CHINA,Arts and Heritage,Registered,200717215M,http://www.businesschina.org.sg
48 WAN THO AVENUE Singapore 347592,01/10/2010,From 01/11/2016 To 31/07/2019,Live,Calvary Community Care,Social and Welfare,Registered,T10SS0047C,calvary.sg
151 Yishun Street 11 #01-26 Singapore 760151,01/09/2007,From 01/01/2017 To 30/09/2018,Live,CampusImpact,Social and Welfare,Registered,T06SS0077A,http://www.campusimpact.org.sg
100 JALAN MERBOK CANOSSIAN MISSION Singapore 598454,26/05/2011,From 22/06/2017 To 21/06/2018,Live,CANOSSA MISSION SINGAPORE,Social and Welfare,Registered,201020087W,Not applicable
1 SALLIM ROAD Singapore 387621,29/06/1987,From 01/02/2017 To 31/07/2019,Live,CANOSSAVILLE CHILDREN AND COMMUNITY SERVICES,Social and Welfare,Registered,S87CC0462K,http://www.cch.org.sg
247 Paya Lebar Road #03-02 Trinity@Paya Lebar Singapore 409045,20/01/1998,From 01/07/2017 To 30/06/2021,Live,Care Community Services Society,Social and Welfare,Registered,S96SS0195L,http://www.carecom.org.sg
62B LORONG 4 TOA PAYOH #02-121 GOLDEN LOTUS Singapore 312062,03/11/2015,From 01/11/2017 To 31/10/2020,Live,CARE CORNER SENIORS SERVICES LTD.,Social and Welfare,Registered,201533890R,http://www.carecorner.org.sg/ccss.html
8 NEW INDUSTRIAL ROAD #06-03 LHK 3 Singapore 536200,09/09/1987,From 01/02/2017 To 31/07/2020,Live,CARE CORNER SINGAPORE LTD,Social and Welfare,Registered,198105641M,http://www.carecorner.org.sg
87 TAMPINES LINK Singapore 528742,17/01/1996,From 01/02/2018 To 31/01/2019,Live,Care for the Elderly Foundation (Singapore),Social and Welfare,Registered,S95SS0134B,www.cef.org.sg
491B RIVER VALLEY ROAD #04-04 VALLEY POINT Singapore 248373,31/07/2012,From 01/05/2017 To 31/01/2019,Live,CAREGIVERS ALLIANCE LIMITED,Social and Welfare,Registered,201131617N,www.cal.org.sg
3 GHIM MOH ROAD #01-294 Singapore 270003,13/05/2004,From 01/08/2016 To 31/01/2019,Live,CAREGIVING WELFARE ASSOCIATION,Social and Welfare,Registered,T04SS0073G,http://www.cwa.org.sg
211 HOUGANG STREET 21 #01-309 Singapore 530211,28/01/2010,From 23/10/2017 To 22/10/2018,Live,CARING FLEET SERVICES LIMITED,Social and Welfare,Registered,201000618K,http://www.caringfleet.com
55 WATERLOO STREET #08-01 Singapore 187954,01/12/2006,From 01/02/2018 To 31/07/2020,Live,Caritas Singapore Agape Fund,Social and Welfare,Registered,T06CC2001K,http://www.caritas-singapore.org
Please contact msf_charities@msf.gov.sg Singapore 000000,01/09/2008,From 01/09/2015 To 31/05/2018,Live,CASA RAUDHA WOMEN HOME,Social and Welfare,Registered,T08SS0051C,http://www.casaraudha.org
101 Bukit Panjang Road Singapore 679910,24/04/2007,From 13/01/2018 To 31/12/2020,Live,CASHEW CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T07CC2006F,Not applicable
98 CLUB STREET #02-01 Singapore 069467,28/06/2004,From 08/05/2017 To 07/11/2017,Live,CAT WELFARE SOCIETY,Others,Registered,S99SS0144E,http://www.catwelfare.org
9 MANDAI ROAD MANDAI MCH CLINIC Singapore 779387,07/07/2006,From 01/02/2018 To 31/01/2020,Live,Catholic AIDS Response Effort,Social and Welfare,Registered,T04SS0204E,http://www.care.org.sg
55 WATERLOO STREET #06-01 CATHOLIC CENTRE Singapore 187954,29/06/1985,From 01/01/2018 To 31/12/2020,Live,"Catholic Welfare Services, Singapore",Social and Welfare,Registered,S61SS0167J,http://www.catholicwelfare.org.sg
26 ENG HOON STREET Singapore 169776,02/01/2014,From 15/02/2017 To 14/02/2018,Live,CAUSES FOR ANIMALS (SINGAPORE) LIMITED,Others,Registered,201314186Z,http://www.causesforanimals.com
42 WATERLOO STREET Singapore 187951,19/09/2014,From 23/06/2017 To 22/12/2018,Live,CENTRE 42 LIMITED,Arts and Heritage,Registered,201403108H,http://www.centre42.sg
9 BATTERY ROAD #15-01 STRAITS TRADING BUILDING Singapore 049910,19/09/2001,From 01/07/2017 To 31/03/2019,Live,CENTRE FOR FATHERING LIMITED,Social and Welfare,Registered,200101825N,http://www.fathers.com.sg
9 BISHAN PLACE #10-02 JUNCTION 8 SHOPPING CENTRE Singapore 579837,22/08/2007,From 01/07/2016 To 31/12/2018,Live,Centre for Seniors,Social and Welfare,Registered,T06SS0199E,http://www.centreforseniors.org.sg
531 Upper Cross Street #04-40A Singapore 050531,20/04/1991,From 01/02/2018 To 31/01/2019,Live,Centre of Activity and Recreation for the Elders (CARE),Social and Welfare,Registered,S83SS0001F,Not applicable
65 PASIR RIS DRIVE 1 CEREBRAL PALSY CENTRE Singapore 519529,22/08/1984,From 01/12/2015 To 31/05/2018,Live,Cerebral Palsy Alliance Singapore,Social and Welfare,Registered,S60SS0003K,http://www.cpas.org.sg
31 THIRD HOSPITAL AVENUE #03-03 Singapore 168753,13/12/2011,From 15/12/2017 To 14/12/2020,Live,CHANGI HEALTH FUND (LTD.),Health,Registered,201133557D,www.cgh.com.sg/givingback/Pages/changi-health-fund.aspx
10 SIMEI STREET 2 CHANGI SIMEI COMMUNITY CLUB Singapore 529915,31/08/2002,From 22/12/2013 To 21/12/2018,Live,CHANGI SIMEI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T02CC1598D,Not applicable
90 GOODMAN ROAD #02-03 GOODMAN ARTS CENTRE Singapore 439053,28/02/2003,From 11/12/2017 To 30/11/2018,Live,CHECKPOINT THEATRE LIMITED,Arts and Heritage,Registered,200209251R,checkpoint-theatre.org
202 Serangoon Garden Way Chen Su Lan Methodist Children's Home Singapore 556057,28/06/1984,From 01/07/2016 To 30/06/2019,Live,Chen Su Lan Methodist Children's Home,Social and Welfare,Registered,S68SS0016K,http://www.cslmch.org.sg
12 EUNOS CRESCENT #01-2767 Singapore 400012,02/07/2004,From 01/08/2017 To 31/01/2020,Live,Cheng Hong Welfare Service Society,Social and Welfare,Registered,T04SS0148G,http://www.chenghongwelfare.org
6 ANG MO KIO ST 53 Singapore 569205,14/07/1986,From 01/04/2015 To 31/03/2018,Live,CHENG SAN - SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S86CC0356D,Not applicable
102 ANG MO KIO AVENUE 3 #01-1429 Singapore 560102,30/04/1999,From 01/07/2017 To 31/03/2019,Live,CHILD AT STREET 11 LTD.,Social and Welfare,Registered,199501798C,http://www.street11.org.sg
512 THOMSON ROAD #14-00 MSF BUILDING Singapore 298136,06/04/1993,From 01/03/2016 To 28/02/2018,Live,"CHILDCARE AND CHILDREN FUND,THE",Social and Welfare,Registered,S93CC0953E,http://www.ncss.gov.sg
428 Pasir Ris Drive 6 #01-21 Singapore 510428,26/06/2001,From 01/08/2017 To 31/07/2020,Live,Children-At-Risk Empowerment Association,Social and Welfare,Registered,T00SS0043E,http://www.care.sg
503 Clementi Road Singapore 599488,14/02/1984,From 01/10/2017 To 31/03/2019,Live,Children's Aid Society,Social and Welfare,Registered,S62SS0031K,http://www.childrensaidsociety.org.sg
8 SINARAN DRIVE #03-01 OASIA HOTEL Singapore 307470,02/12/1992,From 05/05/2016 To 04/05/2019,Live,Children's Cancer Foundation,Health,Registered,S92SS0103J,http://www.ccf.org.sg
18 HOLLAND DRIVE #01-01 BUONA VISTA COURT Singapore 271018,25/09/1984,From 01/04/2017 To 30/09/2018,Live,"Children's Charities Association of Singapore, The",Social and Welfare,Registered,S66SS0023F,http://www.childrenscharities.org.sg
65 TANJONG KATONG ROAD CDAC BLDG Singapore 436957,23/07/1992,From 22/05/2017 To 21/05/2022,Live,CHINESE DEVELOPMENT ASSISTANCE COUNCIL,Others,Registered,199202625K,http://www.cdac.org.sg
21 YISHUN RING ROAD Singapore 768677,28/02/2003,From 01/04/2013 To 31/03/2018,Live,CHONG PANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T03CC1661B,http://www.pa.gov.sg
207J PONGGOL 17TH AVENUE Singapore 829685,21/03/2000,From 01/09/2016 To 28/02/2018,Live,CHRISTIAN CARE SERVICES (SINGAPORE),Social and Welfare,Registered,S99SS0072D,http://www.christian-care-services.org
414 TAMPINES STREET 41 #01-301 Singapore 520414,01/11/1987,From 01/07/2015 To 30/06/2018,Live,CHRISTIAN OUTREACH TO THE HANDICAPPED,Social and Welfare,Registered,S87SS0014H,http://www.coh.sg
35 TECH WHYE AVE Singapore 688892,03/05/2007,From 21/08/2015 To 20/08/2018,Live,CHUA CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,T07CC2019K,Not applicable
9 NORTH BUONA VISTA DRIVE #11-01 THE METROPOLIS Singapore 138588,17/06/2015,From 01/07/2017 To 30/06/2018,Live,CHUA FOUNDATION,Social and Welfare,Registered,201507688M,Not applicable
12 PINE CLOSE #01-85 Singapore 391012,28/02/2000,From 03/01/2018 To 02/01/2019,Live,City Harvest Community Services Association,Social and Welfare,Registered,S97SS0106L,http://www.chcsa.org.sg
12 TANNERY ROAD #10-01 HB CENTRE 1 Singapore 347722,03/12/2010,From 01/12/2017 To 31/08/2020,Live,CLARITY SINGAPORE LIMITED,Social and Welfare,Registered,201021634E,http://www.clarity-singapore.org
220 CLEMENTI AVE 4 Singapore 129880,14/06/1995,From 27/06/2016 To 26/06/2018,Live,CLEMENTI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Community,Registered,S95CC1101F,http://www.pa.gov.sg
244 BUKIT BATOK EAST AVENUE 5 #01-02 Singapore 650244,28/11/2012,From 01/11/2017 To 30/04/2020,Live,CLUB HEAL,Social and Welfare,Registered,T12SS0028K,http://www.clubheal.org.sg
538 Upper Cross Street #05-263 Singapore 050538,22/12/1992,From 29/09/2017 To 28/09/2020,Live,Club Rainbow (Singapore),Health,Registered,S92SS0137H,http://www.clubrainbow.org
11 HOSPITAL DRIVE NATIONAL CANCER CENTRE Singapore 169610,14/12/2000,From 01/09/2016 To 31/08/2018,Live,COMMUNITY CANCER FUND,Health,Registered,T00CC1481D,http://www.nccs.com.sg
80 ROBINSON ROAD #02-00 Singapore 068898,28/08/2009,From 01/09/2016 To 31/08/2019,Live,COMPASSION FUND LTD.,Social and Welfare,Registered,200904371Z,http://www.compassionfund.sg
228 BUKIT BATOK CENTRAL #01-45 Singapore 650228,13/08/2001,From 01/11/2017 To 31/01/2019,Live,Concern & Care Society,Social and Welfare,Registered,T01SS0058F,http://www.concernandcare.org.sg
