balance_assets_accounts_receivables,balance_assets_cash_deposits,balance_assets_inventories,balance_assets_investments,balance_assets_land_building,balance_assets_other_assets,balance_assets_other_tangible,balance_assets_total,balance_funds_endowment,balance_funds_liabilities_total,balance_funds_restricted,balance_funds_total,balance_funds_unrestricted,balance_liabilities_current,balance_liabilities_non_current,balance_liabilities_total,capital_in_nature,category_id,expenses_charitable_local,expenses_charitable_overseas,expenses_charitable_total,expenses_fund_raising,expenses_others_total,expenses_total,financial_period,financial_status,index,name,other_info_donation_other_charities,other_info_fund_raising_efficiency_ratio,other_info_no_of_employees,other_info_total_employee_costs,other_info_total_related_party_transactions,primary_sector,receipts_donation_cash_non_tax_deductible,receipts_donation_cash_tax_deductible,receipts_donation_cash_total,receipts_donation_kind_non_tax_deductible,receipts_donation_kind_tax_deductible,receipts_donation_kind_total,receipts_government_grants,receipts_investment_income,receipts_others_income,receipts_programme_fees,receipts_total,sub_setor,uen
"278,473","297,435",0,0,0,0,"8,816","584,724",0,"584,724","265,923","453,652","187,729","131,072",0,"131,072","265,923",0,"583,174","7,333","590,507","57,428","42,691","690,626",Jan 2015 - Dec 2015,Received,fy2,SINGAPORE CHINESE DANCE THEATRE,0,16.7,7,"279,162","375,496",Arts and Heritage,"282,112",0,"282,112",0,0,0,"419,020",0,"10,214","470,227","1,181,573",Historical & Cultural Conservation,201419196W
"8,735","52,907",0,0,0,0,"7,049","68,691",0,"68,691",0,"-37,295","-37,295","105,986",0,"105,986",0,0,"5,536",0,"5,536",0,"124,532","130,068",Jul 2014 - Dec 2014,Received,fy3,SINGAPORE CHINESE DANCE THEATRE,0,0,5,"80,386",0,Arts and Heritage,0,-,0,0,-,0,"37,500",0,"37,149","18,124","92,773",Historical & Cultural Conservation,201419196W
"17,802","17,986",0,0,0,0,0,"35,788",0,"35,788",0,"21,311","21,311","14,477",0,"14,477",0,0,"348,843","38,436","387,279",0,0,"387,279",Jul 2016 - Jun 2017,Received,fy1,SOCIAL CREATIVES LTD.,0,99.99,5,"192,543",0,Arts and Heritage,402,"40,000","40,402",0,0,0,"317,772",0,"2,913","24,347","385,434",Historical & Cultural Conservation,200813216C
"25,041","33,860",0,0,0,0,0,"58,901",0,"58,901",0,"23,156","23,156","35,745",0,"35,745",0,0,"196,934","9,448","206,382",18,"422,130","628,530",Jul 2015 - Jun 2016,Received,fy2,SOCIAL CREATIVES LTD.,0,99.99,7,"263,155",0,Arts and Heritage,70,"349,772","349,842",0,0,0,"149,837",0,"12,321","94,001","606,001",Historical & Cultural Conservation,200813216C
"52,692","4,447",0,0,"5,399",0,0,"62,538",0,"62,538",0,"35,685","35,685","26,853",0,"26,853",0,0,"219,294","3,947","223,241",0,"289,139","512,380",Jul 2014 - Jun 2015,Received,fy3,SOCIAL CREATIVES LTD.,0,100,9,"296,253","1,365",Arts and Heritage,"113,798","84,867","198,665",0,0,0,"192,788",0,"1,228","119,365","512,046",Historical & Cultural Conservation,200813216C
"180,932","2,875,619",0,"1,530,188",0,"65,189","49,772","4,701,700","4,035,935","4,701,700","49,772","4,593,440","507,733","108,260",0,"108,260",0,0,"387,675",0,"387,675",0,"34,857","422,532",Apr 2016 - Mar 2017,Received,fy1,THE MALAY HERITAGE FOUNDATION LTD,"30,000",0,2,"145,831","29,692",Arts and Heritage,10,"57,530","57,540",0,0,0,"99,880","92,139","230,549",0,"480,108",Historical & Cultural Conservation,199904358R
"47,052","2,626,809",0,"1,782,844",0,"127,335","49,772","4,633,812","4,035,935","4,633,812","49,772","4,535,864","450,157","97,948",0,"97,948",0,0,"472,993",0,"472,993",0,"34,981","507,974",Apr 2015 - Mar 2016,Received,fy2,THE MALAY HERITAGE FOUNDATION LTD,"15,000",0,2,"148,520","29,473",Arts and Heritage,"5,000","28,500","33,500",0,0,0,"140,559","83,393","230,327",0,"487,779",Historical & Cultural Conservation,199904358R
"101,946","2,300,817",0,"2,039,757",0,"194,456","49,772","4,686,748","4,035,935","4,686,748","49,772","4,556,059","470,352","114,489","16,200","130,689",0,0,"415,734",0,"415,734",0,"35,319","451,053",Apr 2014 - Mar 2015,Received,fy3,THE MALAY HERITAGE FOUNDATION LTD,0,0,2,"165,796",0,Arts and Heritage,"10,372","34,600","44,972",0,0,0,"151,748","80,894","220,268",0,"497,882",Historical & Cultural Conservation,199904358R
"33,903","550,372",0,0,0,0,946,"585,221",0,"585,221",0,"562,791","562,791","22,430",0,"22,430",0,1,"1,123,616",0,"1,123,616",0,"725,687","1,849,303",Apr 2016 - Mar 2017,Received,fy1,"National Book Development Council of Singapore, The",0,0,11,"459,829",0,Arts and Heritage,"394,720","170,000","564,720",0,0,0,"999,675",0,"2,104","426,307","1,992,806",Literary Arts,S68SS0042H
"73,824","692,608",0,0,0,0,"1,944","768,376",0,"768,376",0,"419,288","419,288","349,088",0,"349,088",0,1,"695,352",0,"695,352",0,"623,082","1,318,434",Apr 2015 - Mar 2016,Received,fy2,"National Book Development Council of Singapore, The",0,0,10,"547,424",0,Arts and Heritage,"1,186","92,754","93,940",0,0,0,"626,392",0,"206,884","267,338","1,194,554",Literary Arts,S68SS0042H
"35,059","854,487",0,0,0,"6,940",0,"896,486",0,"896,486",0,0,0,"353,318","543,168","896,486",0,1,"921,983",0,"921,983",0,"650,746","1,572,729",Apr 2014 - Mar 2015,Late,fy3,"National Book Development Council of Singapore, The",0,0,10,"522,802",0,Arts and Heritage,0,"101,040","101,040",0,0,0,"915,311",0,"446,274",0,"1,462,625",Literary Arts,S68SS0042H
"4,419","27,494",0,0,0,0,280,"32,193",0,"32,193",0,"25,987","25,987","6,206",0,"6,206","88,950",1,"67,039",0,"67,039",0,"21,911",0,0,0,fy3,SING LIT STATION LIMITED,0,0,2,"31,069","31,069",Arts and Heritage,437,"53,917","54,354",0,0,0,"50,000",0,"8,240","2,343",0,Literary Arts,201615577D
0,"4,762",0,0,"1,350","2,360",0,"8,472","-12,632","8,472",0,"-12,632",0,"21,104",0,"21,104",0,1,0,0,0,0,"264,675",0,0,0,fy3,THE SELECT CENTRE LTD.,0,0,1,"97,440",0,Arts and Heritage,0,"9,081","9,081",0,0,0,"97,695",0,"111,811","21,584",0,Literary Arts,201527668D
"36,750","479,480",0,0,0,0,"15,613","531,843",0,"531,843",0,"252,154","252,154","279,689",0,"279,689","323,222",2,"624,815",0,"624,815",0,"352,412","977,227",Apr 2016 - Mar 2017,Received,fy1,DING YI MUSIC COMPANY LTD.,0,0,9,"607,576",0,Arts and Heritage,0,"39,550","39,550",0,0,0,"673,222",0,"14,177","318,954","1,045,903",Music & Orchestras,201101809W
"39,206","724,043",0,0,0,0,"11,014","774,263",0,"774,263",0,"718,628","718,628","55,635",0,"55,635",0,2,0,0,0,"66,138","1,007,811","1,073,949",Apr 2015 - Mar 2016,Received,fy2,DING YI MUSIC COMPANY LTD.,0,14,4,"217,029",0,Arts and Heritage,0,"486,600","486,600",0,0,0,"755,150",0,"23,147","407,324","1,672,221",Music & Orchestras,201101809W
"75,424","95,640",0,0,0,0,"12,535","183,599",0,"183,599",0,"120,356","120,356","63,243",0,"63,243",0,2,"396,026",0,"396,026",0,"201,083","597,109",Apr 2014 - Mar 2015,Late,fy3,DING YI MUSIC COMPANY LTD.,0,0,6,"98,992",0,Arts and Heritage,0,"105,896","105,896",0,0,0,"230,000",0,"5,058","310,868","651,822",Music & Orchestras,201101809W
"11,342,981","11,870,216",0,"71,051,141",0,"304,605","1,196,891","95,765,834","60,385,502","95,765,834","4,149,433","86,355,699","21,820,764","9,410,135",0,"9,410,135","4,684,859",2,"20,689,725","1,566,076","22,255,801","125,047",0,"22,380,848",Apr 2016 - Mar 2017,Received,fy1,SINGAPORE SYMPHONIA COMPANY LIMITED,0,12,144,"13,957,304",0,Arts and Heritage,0,"2,309,266","2,309,266","695,924",0,"695,924","16,000,000","3,977,250","3,801,575","1,790,874","28,574,889",Music & Orchestras,197801125M
"13,168,010","12,941,505",0,"63,626,448",0,"336,900","433,168","90,506,031","56,537,308","90,506,031","3,593,626","77,464,420","17,333,486","13,041,611",0,"13,041,611","106,463",2,"20,139,812",0,"20,139,812","222,299",0,"20,362,111",Apr 2015 - Mar 2016,Received,fy2,SINGAPORE SYMPHONIA COMPANY LIMITED,0,28,140,"13,374,632",0,Arts and Heritage,0,"2,054,164","2,054,164","686,160",0,"686,160","15,272,493","106,463","2,112,752","1,295,313","21,527,345",Music & Orchestras,197801125M
"12,550,258","11,597,867",0,"62,500,360",1,"292,100","377,843","87,318,429","55,174,229","87,318,429",0,"74,481,659","19,307,430","12,836,770",0,"12,836,770","5,282,954",2,"18,837,104",0,"18,837,104","186,246",0,"19,023,350",Apr 2014 - Mar 2015,Received,fy3,SINGAPORE SYMPHONIA COMPANY LIMITED,0,18.2,140,"12,567,566",0,Arts and Heritage,0,"1,915,554","1,915,554","478,997",0,"478,997","15,500,000","5,282,954","1,831,893","1,231,204","26,240,602",Music & Orchestras,197801125M
"16,621,406","43,446,695","3,185","12,965,000",0,"9,195,072","3,958,071","86,189,429",0,"86,189,429",0,"68,646,390","68,646,390","17,543,039",0,"17,543,039",0,2,"19,627,286","214,615","19,841,901","116,061","68,274,703","88,232,665",Apr 2016 - Mar 2017,Received,fy1,THE ESPLANADE CO LTD,0,3,271,"28,949,294","79,303",Arts and Heritage,"1,256,916","2,631,083","3,887,999","44,896",0,"44,896","60,701,096","2,561,765","23,330,171","5,663,373","96,189,300",Music & Orchestras,199205206G
"16,560,971","44,520,460","1,297","6,134,251",0,"6,707,237","4,509,848","78,434,064",0,"78,434,064",0,"62,156,646","62,156,646","16,277,418",0,"16,277,418",0,2,"20,063,678",0,"20,063,678","121,949","66,823,769","87,009,396",Apr 2015 - Mar 2016,Received,fy2,THE ESPLANADE CO LTD,0,2,262,"27,923,209","128,416",Arts and Heritage,"1,411,471","4,783,489","6,194,960","27,499",0,"27,499","59,545,625","326,313","23,325,621","6,559,567","95,979,585",Music & Orchestras,199205206G
"9,650,199","40,692,093",0,"5,838,479",0,"6,641,034","3,993,002","66,814,807",0,"66,814,807",0,"52,028,079","52,028,079","14,786,728",0,"14,786,728",0,2,"19,250,981",0,"19,250,981","107,845","62,228,305","81,587,131",Apr 2014 - Mar 2015,Received,fy3,THE ESPLANADE CO LTD,0,1.9,256,"26,030,067","103,670",Arts and Heritage,"2,721,720","2,888,663","5,610,383","42,188",0,"42,188","59,507,519","356,127","18,787,709","5,609,907","89,913,833",Music & Orchestras,199205206G
"1,064,158","8,903,281",0,1,0,"57,901","3,615,691","13,641,032",0,"13,641,032","9,050,371","9,799,446","749,075","1,514,992","2,326,594","3,841,586",0,2,"4,786,597","11,159","4,797,756","350,125","301,202","5,449,083",Apr 2016 - Mar 2017,Received,fy1,THE RICE COMPANY LIMITED,0,70,26,"2,101,679","117,820",Arts and Heritage,"358,994","1,818,906","2,177,900",0,0,0,"3,391,655",0,"1,157,375","397,597","7,124,527",Music & Orchestras,201408699H
"66,729","7,505,492",0,0,0,"455,322","4,148,920","12,176,463",0,"12,176,463","7,272,854","8,124,003","851,149","1,521,910","2,530,550","4,052,460","464,562",2,"3,327,649","20,657","3,348,306","266,725","1,204,957","4,819,988",Apr 2015 - Mar 2016,Received,fy2,THE RICE COMPANY LIMITED,0,0.07,29,"1,900,417",0,Arts and Heritage,"470,615","3,231,536","3,702,151",0,0,0,"3,934,719",0,"677,234","675,489","8,989,593",Music & Orchestras,201408699H
"93,546","6,008,457",0,0,0,"495,473","3,446,113","10,043,589",0,"10,043,589",0,"5,854,815","5,854,815","1,624,665","2,564,109","4,188,774",0,2,"1,786,681","868,580","2,655,261","839,378","917,720","4,412,359",Apr 2014 - Mar 2015,Received,fy3,THE RICE COMPANY LIMITED,0,0.16,24,"1,417,523","110,000",Arts and Heritage,"324,340","5,330,469","5,654,809",0,0,0,"1,293,051",0,"248,622","833,656","8,030,138",Music & Orchestras,201408699H
"19,155","848,493",0,0,0,0,"7,351","874,999",0,"874,999",0,"862,576","862,576","12,423",0,"12,423","130,140",2,"733,401","32,678","766,079",0,"47,156","155,709",Apr 2015 - Mar 2016,Late,fy2,THE TENG ENSEMBLE LTD.,0,0,6,"341,465",0,Arts and Heritage,"87,353",-,"87,353",0,-,0,"578,991",0,0,0,"1,329,410",Music & Orchestras,201502077Z
"18,880","841,878",0,0,0,0,"9,924","870,682",0,"870,682",0,"865,492","865,492","5,190",0,"5,190","130,140",2,"141,659","8,860","150,519",0,"5,190",0,0,0,fy3,THE TENG ENSEMBLE LTD.,0,0.3,6,"217,752",0,Arts and Heritage,"795,790",-,"795,790",0,-,0,"356,400",0,"47,080","130,140",0,Music & Orchestras,201502077Z
"38,490","404,690",0,0,0,0,"2,574","445,754",0,"445,754",0,"209,970","209,970","235,784",0,"235,784",0,3,"648,591",0,"648,591",0,"216,841","865,432",Apr 2016 - Mar 2017,Received,fy1,FRONTIER DANCELAND LTD.,0,0,9,"340,993","72,170",Arts and Heritage,0,"85,260","85,260","3,422",0,"3,422","552,619",0,"20,392","90,527","752,220","Professional, Contemporary & Ethnic Dance",201127710M
"87,490","310,740",0,0,0,0,"24,456","422,686",0,"422,686",0,"323,182","323,182","99,504",0,"99,504",0,3,"650,226","47,868","698,094",0,"211,687","909,781",Apr 2015 - Mar 2016,Received,fy2,FRONTIER DANCELAND LTD.,0,0,9,"276,174","61,020",Arts and Heritage,"50,110","46,900","97,010",0,"1,800","1,800","654,194",0,"46,722","117,762","917,488","Professional, Contemporary & Ethnic Dance",201127710M
"73,280","418,899",0,0,0,0,"46,703","538,882",0,"538,882",0,"315,475","315,475","223,407",0,"223,407",0,3,"405,973","67,389","473,362",0,"184,666","658,028",Apr 2014 - Mar 2015,Received,fy3,FRONTIER DANCELAND LTD.,0,0,8,"236,664","81,286",Arts and Heritage,"84,575",-,"84,575",0,-,0,"536,126",837,"1,887","52,705","676,130","Professional, Contemporary & Ethnic Dance",201127710M
500,"2,167",0,0,0,0,0,"2,667",0,"2,667",0,"-97,386","-97,386","100,053",0,"100,053",0,3,"36,603",0,"36,603",0,"30,818","67,421",Mar 2016 - Feb 2017,Late,fy1,JOHN MEAD DANCE COMPANY LTD.,0,100,9,"31,507","21,976",Arts and Heritage,0,"1,839","1,839",0,0,0,"25,905",0,0,"20,279","48,023","Professional, Contemporary & Ethnic Dance",200701899H
895,"5,921",0,0,0,0,0,"6,816",0,"6,816",0,"-77,988","-77,988","84,804",0,"84,804",0,3,"36,804",0,"36,804",0,"33,413","70,217",Mar 2015 - Feb 2016,Late,fy2,JOHN MEAD DANCE COMPANY LTD.,0,100,10,"35,481","23,259",Arts and Heritage,0,"4,000","4,000",0,0,0,"2,000",0,0,"46,620","52,620","Professional, Contemporary & Ethnic Dance",200701899H
"1,162",751,0,0,0,0,0,"1,913",0,"1,913",0,"-60,391","-60,391","62,304",0,"62,304",0,3,"21,699",0,"21,699",0,"39,489","61,188",Mar 2014 - Feb 2015,Received,fy3,JOHN MEAD DANCE COMPANY LTD.,0,0,10,"27,797","29,233",Arts and Heritage,"6,672",-,"6,672",0,-,0,"4,800",0,0,"19,852","31,324","Professional, Contemporary & Ethnic Dance",200701899H
"1,315","46,868","6,245","5,000",0,"60,698","23,066","143,192",0,"143,192",0,942,942,"142,250",0,"142,250",0,3,"828,693",0,"828,693",0,"416,524","1,245,217",Apr 2016 - Mar 2017,Received,fy1,O SCHOOL LTD.,0,0,8,"271,326","376,170",Arts and Heritage,800,"11,551","12,351",0,0,0,"442,944",0,"79,297","679,106","1,213,698","Professional, Contemporary & Ethnic Dance",200905934E
"128,754","64,427","9,146","5,000",0,0,"7,604","214,931",0,"214,932",0,"32,461","32,461","182,471",0,"182,471",0,3,"622,322",0,"622,322",0,"510,243","1,132,565",Apr 2015 - Mar 2016,Received,fy2,O SCHOOL LTD.,0,NA,8,"289,582","131,798",Arts and Heritage,0,-,0,0,-,0,"294,981",0,"60,595","840,036","1,195,612","Professional, Contemporary & Ethnic Dance",200905934E
"87,116","114,257","15,288","5,000",0,0,"3,300","224,961",0,"224,961",0,"-30,585","-30,585","255,546",0,"255,546",0,3,"893,833",0,"893,833",0,"518,996","1,412,829",Apr 2014 - Mar 2015,Late,fy3,O SCHOOL LTD.,0,0,9,"454,361","23,286",Arts and Heritage,0,-,0,0,-,0,"142,931",0,"97,392","1,183,657","1,423,980","Professional, Contemporary & Ethnic Dance",200905934E
"19,857","14,121","2,189",0,0,"4,919",0,"41,086",0,0,"3,276","-251,464","-254,740","251,464",0,"251,464",0,3,"509,364","47,756","557,120",0,0,"557,120",Apr 2016 - Mar 2017,Received,fy1,ODYSSEY DANCE THEATRE LTD,0,0,10,"154,945",0,Arts and Heritage,"1,072","135,000","136,072","38,828",0,"38,828","341,478",0,"8,648","91,605","616,631","Professional, Contemporary & Ethnic Dance",200107383N
"17,636","12,364","2,507",0,0,0,"4,784","37,291",0,"348,266",0,0,0,"45,266","303,000","348,266",-,3,"74,004",0,"74,004",0,-,"74,004",Jan 2016 - Mar 2016,Received,fy2,ODYSSEY DANCE THEATRE LTD,0,0,5,"45,293",0,Arts and Heritage,0,0,0,0,0,0,"43,580",0,"22,465",0,"66,045","Professional, Contemporary & Ethnic Dance",200107383N
"10,376","38,525","2,507",0,0,0,"5,938","57,346",0,"360,362",0,0,0,"360,362",0,"360,362",0,3,"438,505","39,087","477,592",0,"85,860","563,452",Jan 2015 - Dec 2015,Received,fy3,ODYSSEY DANCE THEATRE LTD,0,0,8,"123,493",0,Arts and Heritage,624,"107,100","107,724","53,715",-,"53,715","280,748",0,"12,823","75,953","530,963","Professional, Contemporary & Ethnic Dance",200107383N
"16,321","49,194",0,0,0,"5,482","10,586","81,583",0,"81,583",0,"29,970","29,970","21,613","30,000","51,613",0,3,"173,385",0,"173,385",0,"181,264",0,0,0,fy3,RAW MOVES LTD.,0,0,5,"112,791","32,265",Arts and Heritage,"9,757",-,"9,757",0,-,0,"323,212",0,"52,562",0,0,"Professional, Contemporary & Ethnic Dance",201101201D
"88,988","514,832","1,154,171","20,336,327",0,0,"2,361,442","24,455,760","21,863,742","24,455,760",0,"21,863,742",0,"1,319,422","1,272,596","2,592,018",0,3,"1,147,547",0,"1,147,547",0,"5,586,593","6,734,140",Apr 2016 - Mar 2017,Received,fy1,SINGAPORE DANCE THEATRE LIMITED,0,0,55,"3,204,884",0,Arts and Heritage,0,"165,750","165,750",0,0,0,"2,580,350","1,038,575","1,727,301","680,647","6,192,623","Professional, Contemporary & Ethnic Dance",198702432N
"121,401","1,402,985",0,"19,583,999",0,"1,243,225","2,801,381","25,152,991","21,699,282","25,152,991",0,"21,699,282",0,"2,061,714","1,391,995","3,453,709",0,3,"1,277,098","168,470","1,445,568","22,241","5,179,121","6,646,930",Apr 2015 - Mar 2016,Late,fy2,SINGAPORE DANCE THEATRE LIMITED,0,7.8,55,"3,123,902",0,Arts and Heritage,800,"207,345","208,145",0,0,0,"2,430,684","1,021,971","1,472,784","695,184","5,828,768","Professional, Contemporary & Ethnic Dance",198702432N
"127,001","844,138",0,"22,179,260","3,227,816","919,924",0,"27,298,139","22,995,449","27,298,139",0,"23,690,431","694,982","2,096,314","1,511,394","3,607,708",0,3,0,0,0,0,"7,052,831","7,052,831",Apr 2014 - Mar 2015,Late,fy3,SINGAPORE DANCE THEATRE LIMITED,0,0,65,"3,109,511",0,Arts and Heritage,"253,397",250,"253,647",0,0,0,"2,404,953","982,227","1,959,195",0,"5,600,022","Professional, Contemporary & Ethnic Dance",198702432N
"75,272","281,481","1,025",0,"18,204",0,0,"375,982",0,"375,982",11,"231,462","231,451","144,520",0,"144,520","96,282",3,"948,056","34,014","982,070",0,"29,478","1,011,548",Apr 2016 - Mar 2017,Received,fy1,T.H.E DANCE COMPANY LTD.,0,0,16,"508,209","42,662",Arts and Heritage,397,"95,270","95,667",0,0,0,"758,826",0,"15,999","152,823","1,023,315","Professional, Contemporary & Ethnic Dance",200818017E
