clips_name,Name of Organisation,Type,UEN,IPC Period,Address,Sector,Classification,Activities,date_of_reg,ipc_status,status,website,Neighbour 1 Name of Organisation,Neighbour 1 UEN,Neighbour 1 Sector,Neighbour 1 Classification,Neighbour 2 Name of Organisation,Neighbour 2 UEN,Neighbour 2 Sector,Neighbour 2 Classification,Neighbour 3 Name of Organisation,Neighbour 3 UEN,Neighbour 3 Sector,Neighbour 3 Classification,Neighbour 4 Name of Organisation,Neighbour 4 UEN,Neighbour 4 Sector,Neighbour 4 Classification,Neighbour 5 Name of Organisation,Neighbour 5 UEN,Neighbour 5 Sector,Neighbour 5 Classification,Neighbour 6 Name of Organisation,Neighbour 6 UEN,Neighbour 6 Sector,Neighbour 6 Classification,Neighbour 7 Name of Organisation,Neighbour 7 UEN,Neighbour 7 Sector,Neighbour 7 Classification,Neighbour 8 Name of Organisation,Neighbour 8 UEN,Neighbour 8 Sector,Neighbour 8 Classification,Neighbour 9 Name of Organisation,Neighbour 9 UEN,Neighbour 9 Sector,Neighbour 9 Classification,Neighbour 10 Name of Organisation,Neighbour 10 UEN,Neighbour 10 Sector,Neighbour 10 Classification,Neighbour 11 Name of Organisation,Neighbour 11 UEN,Neighbour 11 Sector,Neighbour 11 Classification,Neighbour 12 Name of Organisation,Neighbour 12 UEN,Neighbour 12 Sector,Neighbour 12 Classification,Neighbour 13 Name of Organisation,Neighbour 13 UEN,Neighbour 13 Sector,Neighbour 13 Classification,Neighbour 14 Name of Organisation,Neighbour 14 UEN,Neighbour 14 Sector,Neighbour 14 Classification,Neighbour 15 Name of Organisation,Neighbour 15 UEN,Neighbour 15 Sector,Neighbour 15 Classification
fengshan_ccc_community_development_and_welfare_fund,FENGSHAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,IPC,S89CC0688K,From 01/04/2015 to 31/03/2018,20 BEDOK NORTH ST 2 Singapore 469644,Community,South East,Refer to attachment for activities in FY1,03/10/1989,Live,Registered,Not applicable,TELOK BLANGAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S85CC0267J,Community,South West,ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0308D,Community,North West,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0339D,Community,Central,CHENG SAN  SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0356D,Community,Central,TANJONG PAGARTIONG BAHRU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0364F,Community,Central,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0397J,Community,North West,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0436A,Community,Central,BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0463F,Community,South West,TAMAN JURONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0501H,Community,South West,BOON LAY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0542B,Community,South West,,,,,,,,,,,,,,,,,,,,
bukit_batok_ccc_community_development_and_welfare_fund,BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,IPC,S87CC0463F,From 01/04/2015 to 31/03/2018,NO.21 BUKIT BATOK CENTRAL BUKIT BATOK COMMUNITY CLUB Singapore 659959,Community,South West,"Yearly Dr Ong Chit Chung Bursary Awards for the needy students, Yearly Ang Pow Presentation to the needy senior citizens, Food and Grocery Voucher scheme for needy residents, Progress Class mentoring programme for the needy Malay students",26/06/1987,Live,Registered,http://www.pa.gov.sg,TELOK BLANGAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S85CC0267J,Community,South West,ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0308D,Community,North West,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0339D,Community,Central,CHENG SAN  SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0356D,Community,Central,TANJONG PAGARTIONG BAHRU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0364F,Community,Central,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0397J,Community,North West,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0436A,Community,Central,BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0463F,Community,South West,TAMAN JURONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0501H,Community,South West,BOON LAY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0542B,Community,South West,,,,,,,,,,,,,,,,,,,,
the_friends_of_the_university_of_warwick_in_singapore,The Friends of The University of Warwick in Singapore,IPC,T14CC0003B,From 13/06/2016 to 12/06/2019,10 MARINA BOULEVARD #13-01/02 MARINA BAY FINANCIAL CENTRE Singapore 018983,Education,"Foreign Educational Institutions/Funds,Foundations & Trusts",Please see attached business plan,13/06/2014,Live,Registered,Not applicable,SORBONNEASSAS INTERNATIONAL LAW SCHOOL  ASIA LIMITED,201117141R,Education,"Foreign Educational Institutions/Funds,Local Educational Institutions/Funds",SPECTRA SECONDARY SCHOOL,201300697M,Education,Local Educational Institutions/Funds,DAS ACADEMY LTD.,201003689Z,Education,Local Educational Institutions/Funds,DAS INTERNATIONAL SERVICES LTD.,201111119G,Education,Local Educational Institutions/Funds,NANYANG KINDERGARTEN 51 CORONATION ROAD BUILDING FUND,T12CC0005F,Education,Local Educational Institutions/Funds,"THE CULINARY INSTITUTE OF AMERICA, SINGAPORE, LTD.",201018895W,Education,Foreign Educational Institutions/Funds,COUNCIL FOR ADVANCEMENT AND SUPPORT OF EDUCATION  ASIA PACIFIC,200714231E,Education,Others,LA SALLE CENTRE (LIMITED),200708204G,Education,Local Educational Institutions/Funds,SAS FOUNDATION LIMITED,200813073R,Education,Foreign Educational Institutions/Funds,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",200903483M,Education,Local Educational Institutions/Funds,SJI INTERNATIONAL SCHOLARSHIPS AND BURSARIES FUND,T06CC1997C,Education,Local Educational Institutions/Funds,SJI INTERNATIONAL BUILDING AND DEVELOPMENT FUND,T06CC1996G,Education,Local Educational Institutions/Funds,UNITED WORLD COLLEGE OF SOUTH EAST ASIA  EAST,200801795N,Education,Foreign Educational Institutions/Funds,The Friends of The University of Warwick in Singapore,T14CC0003B,Education,"Foreign Educational Institutions/Funds,Foundations & Trusts",The Stephen A. Schwarzman Scholars Trust,T14CC0002F,Education,"Foreign Educational Institutions/Funds,Foundations & Trusts"
methodist_schools_foundation,METHODIST SCHOOLS' FOUNDATION,IPC,199703727C,From 16/01/2018 to 15/01/2021,70 BARKER ROAD #06-03 Singapore 309936,Education,Foundations & Trusts,We appeal for direct donation to general and endowment funds. We also hold MSF Sunday. We schedule MethodistWalk on alternate year basis,11/07/1997,Live,Registered,http://www.methodist.org.sg,SWISS SCHOOL IN SINGAPORE,196700214W,Education,Foreign Educational Institutions/Funds,UNITED WORLD COLLEGE OF SOUTH EAST ASIA,197000825H,Education,Foreign Educational Institutions/Funds,Singapore Indian Education Trust,S67SS0016E,Education,Foundations & Trusts,HOLLANDSE SCHOOL LIMITED,198202285D,Education,Foreign Educational Institutions/Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hwa_chong_international_school_education_fund,Hwa Chong International School Education Fund,IPC,T10CC0001A,From 01/02/2016 to 31/01/2019,663 Bukit Timah Road Singapore 269783,Education,Local Educational Institutions/Funds,Donations received are for operations of the school,10/08/2004,Live,Registered,http://www.hcis.edu.sg,SWISS SCHOOL IN SINGAPORE,196700214W,Education,Foreign Educational Institutions/Funds,Singapore Indian Education Trust,S67SS0016E,Education,Foundations & Trusts,HOLLANDSE SCHOOL LIMITED,198202285D,Education,Foreign Educational Institutions/Funds,UNITED WORLD COLLEGE OF SOUTH EAST ASIA,197000825H,Education,Foreign Educational Institutions/Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
girl_guides_singapore,Girl Guides Singapore,IPC,S67SS0005D,From 01/09/2015 to 31/08/2018,9 BISHAN STREET 14 SINGAPORE GIRLS GUIDE ASSOCIATION Singapore 579785,Education,Uniformed Groups,Trainin,22/03/1985,Live,Registered,http://www.girlguides.org.sg,ACS (International) Education Fund,T07CC2027A,Education,Local Educational Institutions/Funds,Girl Guides Singapore,S67SS0005D,Education,Uniformed Groups,"SINGAPORE SCOUT ASSOCIATION, THE",S85CC0196D,Education,Uniformed Groups,SOON HONG KEE SCHOLARSHIP TRUST FUND,S85CC0257D,Education,Foundations & Trusts,JAPANESE SCHOOL,S86CC0384E,Education,Foreign Educational Institutions/Funds,ONG TENG CHEONG LABOUR LEADERSHIP INSTITUTE,199001767N,Education,Others,BRITISH COUNCIL (SINGAPORE) LIMITED,201202363R,Education,Others,SINGAPORE SIKH EDUCATION FOUNDATION,S90SS0119B,Education,Foundations & Trusts,THOMSON SHIN MIN FOUNDATION,199302864D,Education,Foundations & Trusts,SINGAPORE KOREAN INTERNATIONAL SCHOOL LTD.,199301198G,Education,Foreign Educational Institutions/Funds,CHOA CHU KANG BIBLE CENTRE KINDERGARTEN,S97CC1289D,Education,Local Educational Institutions/Funds,LIGHTHOUSE SCHOOL,T02CC1619F,Education,Local Educational Institutions/Funds,INTERNATIONAL BACCALAUREATE ORGANIZATION (SINGAPORE BRANCH),S91FC4345J,Education,Others,GLOBAL INDIAN FOUNDATION LTD.,200301352N,Education,Local Educational Institutions/Funds,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,200504979Z,Education,Local Educational Institutions/Funds
national_skin_centre_health_endowment_fund,NATIONAL SKIN CENTRE HEALTH ENDOWMENT FUND,IPC,T00CC1423K,From 01/01/2018 to 31/12/2018,1 MANDALAY ROAD NATIONAL SKIN CENTRE Singapore 308205,Health,Cluster/Hospital Funds,NSC HEF supported the following charitable activities are : (1) Eczema Support Group for Adult and Paediatric Patients (2) Charity Clinic at the Singapore Christian Home for the Aged. (3) Financial assistance to patient,06/03/2000,Live,Registered,Not applicable,SINGAPORE THONG CHAI MEDICAL INSTITUTION,196000175E,Health,TCM Clinic,LIONS HOME FOR THE ELDERS,S80SS0029B,Health,"Day Rehabilitation Centre,Nursing Home",Diabeties Singapore,S71SS0043E,Health,"Diseases/Illnessess Support Group,Other Communitybased Services",Society for The Aged Sick,S68SS0022J,Health,Nursing Home,Sian Chay Medical Institution,S62SS0055D,Health,TCM Clinic,Singapore Heart Foundation,S70SS0007H,Health,Diseases/Illnessess Support Group,ACADEMY OF MEDICINE SINGAPORE,197702012E,Health,Health Professional Group,"Singapore Association for Mental Health, The",S68SS0038A,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Other Communitybased Services",Singapore Cancer Society,S65SS0033F,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Hospice,Other Communitybased Services,Others,Palliative Home Care,Trust/Research Funds",SATA COMMHEALTH,194700119G,Health,"Day Rehabilitation Centre,Home Care,Others",Singapore Buddhist Free Clinic,S69SS0009J,Health,TCM Clinic,Haemophilia Society of Singapore,S85SS0047A,Health,Diseases/Illnessess Support Group,National Arthritis Foundation,S84SS0010J,Health,Diseases/Illnessess Support Group,Man Fut Tong Nursing Home,S80SS0179G,Health,Nursing Home,BRIGHT HILL EVERGREEN HOME,S82SS0008F,Health,Nursing Home
ren_ci_hospital,REN CI HOSPITAL,IPC,201018593M,From 16/11/2015 to 15/11/2018,71 IRRAWADDY ROAD Singapore 329562,Health,"Community/Chronic Sick Hospital,Day Rehabilitation Centre,Nursing Home",PLEASE REFER TO ATTACHMENT AT (B,08/11/2010,Live,Registered,http://www.renci.org.sg,REN CI HOSPITAL,201018593M,Health,"Community/Chronic Sick Hospital,Day Rehabilitation Centre,Nursing Home",BRIGHT VISION HOSPITAL,200105451R,Health,"Community/Chronic Sick Hospital,Day Rehabilitation Centre,Hospice",ASSISI HOSPICE,201208993Z,Health,Hospice,All Saints Home,S87SS0068F,Health,"Day Rehabilitation Centre,Nursing Home,Other Communitybased Services",ST LUKE'S ELDERCARE LTD.,199904873Z,Health,"Day Rehabilitation Centre,Home Care,Nursing Home,Other Communitybased Services,Others",SUNLOVE ABODE FOR INTELLECTUALLYINFIRMED LTD,199202859C,Health,"Day Rehabilitation Centre,Home Care,Nursing Home,Other Communitybased Services,Others","BONE MARROW DONOR PROGRAMME, THE",S93SS0141J,Health,Diseases/Illnessess Support Group,Dover Park Hospice,S92SS0138D,Health,"Hospice,Palliative Home Care",ALEXANDRA HEALTH FUND LIMITED,201427909W,Health,Trust/Research Funds,HOME NURSING FOUNDATION,S76SS0044D,Health,Home Care,KIDNEY DIALYSIS FOUNDATION LIMITED,199600830Z,Health,Renal Dialysis,Epilepsy Care Group (Singapore),S95SS0164F,Health,Diseases/Illnessess Support Group,Ling Kwang Home For Senior Citizens,T08SS0070F,Health,Nursing Home,HCA Hospice Care,S89SS0106G,Health,"Hospice,Palliative Home Care",JURONGHEALTH FUND,201118604G,Health,Cluster/Hospital Funds
sata_commhealth,SATA COMMHEALTH,Charity Organisation,194700119G,Not applicable,351 CHAI CHEE STREET SATA COMMHEALTH BUILDING Singapore 468982,Health,"Day Rehabilitation Centre,Home Care,Others","SATA has a long history of involvement with the community. In addition to promoting tuberculosis (TB) awareness and treating TB patients, SATA CommHealth also renders primary healthcare services, especially health screening and statutory medical check-ups, preventive healthcare services and chronic disease management. SATA CommHealth continues to serve the community and alleviate the healthcare burden of the needy and/or elderly through free or subsidized healthcare services. Our four medical centres located within the heartlands coupled with our mobile medical services, Doctors-on-Wheels, Homecare & Community Health services enhance the affordability and accessibility of basic and essential healthcare for the community",27/09/1984,Not applicable,Registered,http://www.sata.com.sg,Action For Aids (Singapore),S88SS0126A,Health,Diseases/Illnessess Support Group,SINGAPORE THONG CHAI MEDICAL INSTITUTION,196000175E,Health,TCM Clinic,Society for The Aged Sick,S68SS0022J,Health,Nursing Home,Singapore Cancer Society,S65SS0033F,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Hospice,Other Communitybased Services,Others,Palliative Home Care,Trust/Research Funds",Diabeties Singapore,S71SS0043E,Health,"Diseases/Illnessess Support Group,Other Communitybased Services",Singapore Heart Foundation,S70SS0007H,Health,Diseases/Illnessess Support Group,Sian Chay Medical Institution,S62SS0055D,Health,TCM Clinic,ACADEMY OF MEDICINE SINGAPORE,197702012E,Health,Health Professional Group,SATA COMMHEALTH,194700119G,Health,"Day Rehabilitation Centre,Home Care,Others","Singapore Association for Mental Health, The",S68SS0038A,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Other Communitybased Services",LIONS HOME FOR THE ELDERS,S80SS0029B,Health,"Day Rehabilitation Centre,Nursing Home",Singapore Buddhist Free Clinic,S69SS0009J,Health,TCM Clinic,Man Fut Tong Nursing Home,S80SS0179G,Health,Nursing Home,National Arthritis Foundation,S84SS0010J,Health,Diseases/Illnessess Support Group,SINGAPORE CHRISTIAN HOME,S77SS0040C,Health,Nursing Home
ronald_mcdonald_house_charities_singapore,RONALD MCDONALD HOUSE CHARITIES SINGAPORE,Charity Organisation,S98SS0006C,Not applicable,5 LOWER KENT RIDGE ROAD #04-00 NATIONAL UNIVERSITY HOSPITAL Singapore 119074,Health,Diseases/Illnessess Support Group,Please refer to attached Statements of Account for year ended 31.12.2016 for details of activitie,03/11/1999,Not applicable,Registered,www.rmhc.org.sg,SINGAPORE THONG CHAI MEDICAL INSTITUTION,196000175E,Health,TCM Clinic,LIONS HOME FOR THE ELDERS,S80SS0029B,Health,"Day Rehabilitation Centre,Nursing Home","College of Family Physicians Singapore,",S71SS0039J,Health,Health Professional Group,Haemophilia Society of Singapore,S85SS0047A,Health,Diseases/Illnessess Support Group,BRIGHT HILL EVERGREEN HOME,S82SS0008F,Health,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academy_of_medicine_singapore,ACADEMY OF MEDICINE SINGAPORE,IPC,197702012E,From 17/05/2016 to 16/05/2018,81 KIM KEAT ROAD #11-00 NKF CENTRE Singapore 328836,Health,Health Professional Group,"The principal activities of the Academy of Medicine, Singapore are advancing the art and science of medicine in Singapore through postgraduate specialist training; maintenance of high standards of competency and ethical integrity through continuous professional development as well as dissemination of information and knowledge to the public on matters related to health. It develops and administrates the staff registrar schemes and other postgraduate training programmes, organises continuing medical education activities (conferences, lectures, seminars) and public forums, provides guidelines and professional opinions to Ministry of Health, Singapore Medical Council and other government agencies, provides independent medical expert opinions to Singapore Police Force, and publishes The Annals (medical journal) and newsletters etc",13/04/1984,Live,Registered,http://www.ams.edu.sg,Action For Aids (Singapore),S88SS0126A,Health,Diseases/Illnessess Support Group,SINGAPORE THONG CHAI MEDICAL INSTITUTION,196000175E,Health,TCM Clinic,Diabeties Singapore,S71SS0043E,Health,"Diseases/Illnessess Support Group,Other Communitybased Services",Society for The Aged Sick,S68SS0022J,Health,Nursing Home,Singapore Cancer Society,S65SS0033F,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Hospice,Other Communitybased Services,Others,Palliative Home Care,Trust/Research Funds",Sian Chay Medical Institution,S62SS0055D,Health,TCM Clinic,Singapore Heart Foundation,S70SS0007H,Health,Diseases/Illnessess Support Group,ACADEMY OF MEDICINE SINGAPORE,197702012E,Health,Health Professional Group,"Singapore Association for Mental Health, The",S68SS0038A,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Other Communitybased Services",SATA COMMHEALTH,194700119G,Health,"Day Rehabilitation Centre,Home Care,Others",LIONS HOME FOR THE ELDERS,S80SS0029B,Health,"Day Rehabilitation Centre,Nursing Home",Singapore Buddhist Free Clinic,S69SS0009J,Health,TCM Clinic,Man Fut Tong Nursing Home,S80SS0179G,Health,Nursing Home,National Arthritis Foundation,S84SS0010J,Health,Diseases/Illnessess Support Group,SINGAPORE CHRISTIAN HOME,S77SS0040C,Health,Nursing Home
home_nursing_foundation,HOME NURSING FOUNDATION,IPC,S76SS0044D,From 01/10/2015 to 30/09/2018,93 TOA PAYOH CENTRAL #07-01 TOA PAYOH CENTRAL COMMUNITY BUILDING Singapore 319194,Health,Home Care,"Provides integrated and comprehensive care services to patients in the comfort and familiarity of their own homes. These services consist of home-nursing care, home-medical care, home-therapy and social welfare",01/10/2007,Live,Registered,http://www.hnf.org.sg,"BONE MARROW DONOR PROGRAMME, THE",S93SS0141J,Health,Diseases/Illnessess Support Group,Epilepsy Care Group (Singapore),S95SS0164F,Health,Diseases/Illnessess Support Group,All Saints Home,S87SS0068F,Health,"Day Rehabilitation Centre,Nursing Home,Other Communitybased Services",SUNLOVE ABODE FOR INTELLECTUALLYINFIRMED LTD,199202859C,Health,"Day Rehabilitation Centre,Home Care,Nursing Home,Other Communitybased Services,Others",HCA Hospice Care,S89SS0106G,Health,"Hospice,Palliative Home Care",Ju Eng Home for Senior Citizens,S89SS0113B,Health,Nursing Home,Sunshine Welfare Action Mission (SWAMI),S88SS0104K,Health,"Day Rehabilitation Centre,Home Care,Nursing Home,Other Communitybased Services",Dover Park Hospice,S92SS0138D,Health,"Hospice,Palliative Home Care",BRIGHT HILL EVERGREEN HOME,S82SS0008F,Health,Nursing Home,LIONS HOME FOR THE ELDERS,S80SS0029B,Health,"Day Rehabilitation Centre,Nursing Home",SINGAPORE THONG CHAI MEDICAL INSTITUTION,196000175E,Health,TCM Clinic,Public Free Clinic Society,S95SS0069F,Health,TCM Clinic,,,,,,,,,,,,
assisi_hospice,ASSISI HOSPICE,IPC,201208993Z,From 27/04/2017 to 26/04/2020,80 RAFFLES PLACE #32-01 UOB PLAZA Singapore 048624,Health,Hospice,"The key activities of Assisi Hospice are as follow - a) Provision of Inpatient Hospice Service to patients facing a life threatening illness and their families in the care setting of a 36 bedded hospice; b) Provision of Hospice Home Care Service to patients facing a life threatening illness and living in the community, and their families; c) Provision of Hospice Day Care Service to patients facing a life threatening illness and their families; d) Provision of physical rehabiltiation service; e) Provision of psychosocial and clinical pastoral care; f) Provision of bereavement service; g) Provision of care-giver training",03/05/2012,Live,Registered,http://www.assisihospice.org.sg,REN CI HOSPITAL,201018593M,Health,"Community/Chronic Sick Hospital,Day Rehabilitation Centre,Nursing Home",ASSISI HOSPICE,201208993Z,Health,Hospice,ALEXANDRA HEALTH FUND LIMITED,201427909W,Health,Trust/Research Funds,BRIGHT VISION HOSPITAL,200105451R,Health,"Community/Chronic Sick Hospital,Day Rehabilitation Centre,Hospice",JURONGHEALTH FUND,201118604G,Health,Cluster/Hospital Funds,ST LUKE'S ELDERCARE LTD.,199904873Z,Health,"Day Rehabilitation Centre,Home Care,Nursing Home,Other Communitybased Services,Others",HOME NURSING FOUNDATION,S76SS0044D,Health,Home Care,Ling Kwang Home For Senior Citizens,T08SS0070F,Health,Nursing Home,CHANGI HEALTH FUND (LTD.),201133557D,Health,"Cluster/Hospital Funds,Home Care,Other Communitybased Services,Trust/Research Funds",NUHS FUND LIMITED,201203593Z,Health,Cluster/Hospital Funds,"BONE MARROW DONOR PROGRAMME, THE",S93SS0141J,Health,Diseases/Illnessess Support Group,TTSH COMMUNITY FUND,201400920N,Health,Cluster/Hospital Funds,All Saints Home,S87SS0068F,Health,"Day Rehabilitation Centre,Nursing Home,Other Communitybased Services",SNEC HEALTH RESEARCH ENDOWMENT FUND,T02CC1574K,Health,Cluster/Hospital Funds,SUNLOVE ABODE FOR INTELLECTUALLYINFIRMED LTD,199202859C,Health,"Day Rehabilitation Centre,Home Care,Nursing Home,Other Communitybased Services,Others"
hca_hospice_care,HCA Hospice Care,IPC,S89SS0106G,From 01/10/2017 to 30/09/2019,12 Jalan Tan Tock Seng Singapore 308437,Health,"Hospice,Palliative Home Care","HCA Hospice Care's core programme is its Hospice Home Care programme. HCA cares for over 3,700 patients . It also operates 2 Day Hospice Centres for the more stable among its patients with an average daily attendance of 40. To support its core programme it has a Caregivers Support programme which comprise of Caregivers Training, Bereavement support events like its Memorial Service and children's events. Its outreach programme includes the Young Caregivers programme which creates awareness among youths from primary, secondary to tertiary levels on developing empathy for those in the community with life-limiting illnesses , showing care and treasuring life. Details in the attached annual report",27/03/1991,Live,Registered,http://www.hca.org.sg,Action For Aids (Singapore),S88SS0126A,Health,Diseases/Illnessess Support Group,SINGAPORE THONG CHAI MEDICAL INSTITUTION,196000175E,Health,TCM Clinic,LIONS HOME FOR THE ELDERS,S80SS0029B,Health,"Day Rehabilitation Centre,Nursing Home","College of Family Physicians Singapore,",S71SS0039J,Health,Health Professional Group,Haemophilia Society of Singapore,S85SS0047A,Health,Diseases/Illnessess Support Group,BRIGHT HILL EVERGREEN HOME,S82SS0008F,Health,Nursing Home,Society for The Aged Sick,S68SS0022J,Health,Nursing Home,Singapore Cancer Society,S65SS0033F,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Hospice,Other Communitybased Services,Others,Palliative Home Care,Trust/Research Funds",Diabeties Singapore,S71SS0043E,Health,"Diseases/Illnessess Support Group,Other Communitybased Services",Singapore Heart Foundation,S70SS0007H,Health,Diseases/Illnessess Support Group,Sian Chay Medical Institution,S62SS0055D,Health,TCM Clinic,ACADEMY OF MEDICINE SINGAPORE,197702012E,Health,Health Professional Group,"Singapore Association for Mental Health, The",S68SS0038A,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Other Communitybased Services",SATA COMMHEALTH,194700119G,Health,"Day Rehabilitation Centre,Home Care,Others",,,,
grace_lodge,Grace Lodge,IPC,S88SS0120C,From 01/09/2017 to 31/08/2019,19 COMPASSVALE WALK FU HUI LINK Singapore 544644,Health,Nursing Home,"Description: Nursing Home Venue: Grace Lodge at 19 Compassvale Walk, Singapore 544644. Targeted Audience: Needy elderly. Staff Strength: 12",06/03/1990,Live,Registered,http://www.sbws.org.sg,Action For Aids (Singapore),S88SS0126A,Health,Diseases/Illnessess Support Group,SINGAPORE THONG CHAI MEDICAL INSTITUTION,196000175E,Health,TCM Clinic,Diabeties Singapore,S71SS0043E,Health,"Diseases/Illnessess Support Group,Other Communitybased Services",Society for The Aged Sick,S68SS0022J,Health,Nursing Home,Sian Chay Medical Institution,S62SS0055D,Health,TCM Clinic,Singapore Cancer Society,S65SS0033F,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Hospice,Other Communitybased Services,Others,Palliative Home Care,Trust/Research Funds",Singapore Heart Foundation,S70SS0007H,Health,Diseases/Illnessess Support Group,ACADEMY OF MEDICINE SINGAPORE,197702012E,Health,Health Professional Group,"Singapore Association for Mental Health, The",S68SS0038A,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Other Communitybased Services",LIONS HOME FOR THE ELDERS,S80SS0029B,Health,"Day Rehabilitation Centre,Nursing Home",SATA COMMHEALTH,194700119G,Health,"Day Rehabilitation Centre,Home Care,Others",Singapore Buddhist Free Clinic,S69SS0009J,Health,TCM Clinic,Man Fut Tong Nursing Home,S80SS0179G,Health,Nursing Home,National Arthritis Foundation,S84SS0010J,Health,Diseases/Illnessess Support Group,Haemophilia Society of Singapore,S85SS0047A,Health,Diseases/Illnessess Support Group
alzheimers_disease_association,Alzheimer's Disease Association,IPC,S91SS0018J,From 01/01/2016 to 31/12/2018,157 Lorong 1 Toa Payoh #01-1195 Singapore 310157,Health,Other Community-based Services,"DEMENTIA DAY CARE SERVICE THROUGH ITS 4 NEW HORIZON CENTRES CAREGIVER SUPPORT CENTRE IN PROVIDING CAREGIVER SUPPORT SERVICES THROUGH DEMENTIA HELPLINE, INFORMATION AND REFERRAL, COUNSELLING, SUPPORT GROUPS, HOME INTERVENTION THREE FAMILY OF WISDOM CENTRES PROVIDING RESPITE CARE FOR CAREGIVERS RESOURCE & TRAINING CENTRE PROVIDING TRAINING AND CONSULTANCY PUBLIC EDUCATION, VOLUNTEER PROGRAMME, RESEARC",21/09/1992,Live,Registered,http://www.alz.org.sg,Action For Aids (Singapore),S88SS0126A,Health,Diseases/Illnessess Support Group,SINGAPORE THONG CHAI MEDICAL INSTITUTION,196000175E,Health,TCM Clinic,Diabeties Singapore,S71SS0043E,Health,"Diseases/Illnessess Support Group,Other Communitybased Services",Society for The Aged Sick,S68SS0022J,Health,Nursing Home,Singapore Cancer Society,S65SS0033F,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Hospice,Other Communitybased Services,Others,Palliative Home Care,Trust/Research Funds",Sian Chay Medical Institution,S62SS0055D,Health,TCM Clinic,Singapore Heart Foundation,S70SS0007H,Health,Diseases/Illnessess Support Group,ACADEMY OF MEDICINE SINGAPORE,197702012E,Health,Health Professional Group,LIONS HOME FOR THE ELDERS,S80SS0029B,Health,"Day Rehabilitation Centre,Nursing Home","Singapore Association for Mental Health, The",S68SS0038A,Health,"Day Rehabilitation Centre,Diseases/Illnessess Support Group,Other Communitybased Services",SATA COMMHEALTH,194700119G,Health,"Day Rehabilitation Centre,Home Care,Others",Singapore Buddhist Free Clinic,S69SS0009J,Health,TCM Clinic,Man Fut Tong Nursing Home,S80SS0179G,Health,Nursing Home,National Arthritis Foundation,S84SS0010J,Health,Diseases/Illnessess Support Group,Haemophilia Society of Singapore,S85SS0047A,Health,Diseases/Illnessess Support Group
